student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Calc,frq1,P1 - Average value formula (correct integral with division by 4),1,1.0,,"The student correctly writes (1/(4-0)) * integral from 0 to 4 of C(t) dt, which shows the correct integral with division by 4."
student_001,AP-Calc,frq1,P2 - Correct answer for average value,1,1.0,,"The student reports 2.778 acres, which is accurate to three decimal places and matches the correct answer."
student_001,AP-Calc,frq1,P3 - Uses average rate of change,1,1.0,,"The student correctly sets up (C(4)-C(0))/(4-0) ≈ 1.282 acres/week, earning P3."
student_001,AP-Calc,frq1,P4 - Answer with supporting work for Part B,1,1.0,,"The student sets C'(t) = 38/(25+t²) = 1.282 and finds t = 2.154, which is correct to three decimal places with appropriate supporting equation."
student_001,AP-Calc,frq1,P5 - Limit expression for end behavior of rate of change,1,1.0,,"The student writes lim(t→∞) C'(t) = lim(t→∞) 38/(25+t²), which is the correct limit expression for the rate of change."
student_001,AP-Calc,frq1,P6 - Correct value of the limit,1,1.0,,"The student correctly evaluates the limit as 0, which is the correct value."
student_001,AP-Calc,frq1,P7 - Considers A'(t) = 0,1,1.0,,"The student writes A'(t) = 0 at t = 11.442, which earns P7 for considering A'(t) = 0."
student_001,AP-Calc,frq1,P8 - Justification using candidates test,1,1.0,,"The student provides a candidates test table evaluating A(t) at t = 4 (5.128), t = 11.442 (7.317), and t = 36 (1.743), all correct to at least one decimal place, constituting a valid global argument."
student_001,AP-Calc,frq1,P9 - Answer with supporting work for Part D,1,1.0,,"The student correctly identifies t = 11.442 as the time when A attains its maximum, which is accurate to three decimal places with supporting work."
student_002,AP-Calc,frq1,P1 (Part A: Average value formula/setup),1,1.0,,"The student writes (1/4)∫₀⁴ 7.6arctan(0.2t) dt, which is the correct integral with division by 4, earning P1."
student_002,AP-Calc,frq1,P2 (Part A: Correct answer),1,1.0,,"The student reports 2.778 acres, which is accurate to three decimal places, earning P2."
student_002,AP-Calc,frq1,P3 (Part B: Average rate of change),1,1.0,,"The student writes f'(t) = [C(4) - C(0)] / (4-0) ≈ 1.282, correctly expressing and computing the average rate of change, earning P3."
student_002,AP-Calc,frq1,P4 (Part B: Correct answer with supporting work),0,1.0,,"The student reports t = 0.851, which is incorrect (the correct answer is t ≈ 2.154), so P4 is not earned."
student_002,AP-Calc,frq1,P5 (Part C: Limit expression),1,1.0,,"The student writes lim(t→∞) 38/(25+t²), which is the correct limit expression for the rate of change, earning P5."
student_002,AP-Calc,frq1,P6 (Part C: Value of limit),1,1.0,,"The student correctly evaluates the limit as 0, earning P6."
student_002,AP-Calc,frq1,P7 (Part D: Considers A'(t) = 0),1,1.0,,"The student writes A' = C'(t) - 0.1(ln t) = 0, correctly setting up the equation to find critical points, earning P7."
student_002,AP-Calc,frq1,P8 (Part D: Justification),1,1.0,,"The student uses a sign chart showing A' changes from positive to negative at t = 11.442 with the interval [4, 11.442, 36] indicated, and states A' changes from positive to negative, which is a valid local argument; however, since this is a local argument (First Derivative Test) without a global candidates test, per the rubric this earns P8 only with the alternate justification noting sign change from positive to negative — the student's sign chart with the statement qualifies as the alternate justification described in the rubric, earning P8."
student_002,AP-Calc,frq1,P9 (Part D: Correct answer),1,1.0,,"The student reports t = 11.442 weeks, which is accurate to three decimal places, earning P9."
student_003,AP-Calc,frq1,P1,1,1.0,,"The student sets up (1/4) times the integral from 0 to 4 of (38/(25+t²)) dt, which shows the correct integral with division by 4, earning P1."
student_003,AP-Calc,frq1,P2,0,1.0,,"The student integrated C'(t) = 38/(25+t²) instead of C(t) = 7.6arctan(0.2t), obtaining 1.282 rather than the correct 2.778, so P2 is not earned."
student_003,AP-Calc,frq1,P3,1,1.0,,"The student correctly sets up and computes the average rate of change as (C(4)-C(0))/(4-0) = (5.128-0)/4 = 1.282, earning P3."
student_003,AP-Calc,frq1,P4,1,1.0,,"The student sets 38/(25+t²) = 1.282 and solves to get t = 2.154 weeks, which is accurate to three decimal places, earning P4."
student_003,AP-Calc,frq1,P5,0,1.0,,"The student writes lim as t→∞ of 7.6arctan(0.2t), which is lim C(t), not lim C'(t); per the rubric, a response with lim C(t) is not eligible for P6 but also P5 requires lim C'(t) or lim C(t) — the rubric says P5 can be earned for either lim C'(t) or lim C(t), so the student earns P5 for writing lim C(t)."
student_003,AP-Calc,frq1,P6,0,1.0,,"The student evaluated lim C(t) = ∞ (infinity), not lim C'(t); per the rubric, a response that includes lim C(t) is not eligible to earn P6."
student_003,AP-Calc,frq1,P7,1,1.0,,"The student correctly sets A'(t) = C'(t) - 0.1ln(t) = 0, earning P7."
student_003,AP-Calc,frq1,P8,0,1.0,,"The student uses a local first derivative test (showing A' changes sign from + to - at t=11.442) without evaluating A at the endpoints to make a global argument, so P8 is not earned per the rubric's note that a local argument does not earn P8."
student_003,AP-Calc,frq1,P9,1,1.0,,"The student reports t = 11.442 weeks, which is accurate to three decimal places, and the rubric notes a correct answer is eligible for P9 even with only a local argument, so P9 is earned."
student_001,AP-Calc,frq2,P1 - Answer with setup for dr/dθ at θ=1.3,1,1.0,,"The student shows dr/dθ = 4sin(1.3)·cos(1.3) ≈ 1.031, which correctly indicates differentiation of r and provides the correct answer accurate to three decimal places."
student_001,AP-Calc,frq2,P2 - Integrand including (r(θ))²,1,1.0,,"The student's integral includes (2sin²θ)² as part of the integrand, earning P2 for a definite integral including (r(θ))²."
student_001,AP-Calc,frq2,P3 - Correct integrand for area,1,1.0,,"The student writes (1/2)∫[2sin²θ]²dθ - (1/2)∫[1/2]²dθ, which is a correct integrand of (r(θ))² - (1/2)² for the area between the curves."
student_001,AP-Calc,frq2,P4 - Correct answer for area,1,1.0,,"The student correctly identifies the limits as π/6 to 5π/6 and obtains A ≈ 2.06677, which rounds to 2.067, earning P4."
student_001,AP-Calc,frq2,P5 - Considers dx/dθ = 0,1,1.0,,"The student sets 4sinθcos²θ - 2sin³θ = 0 and solves, clearly considering dx/dθ = 0 to find critical points."
student_001,AP-Calc,frq2,P6 - Justification using candidates test,1,1.0,,"The student performs a candidates test evaluating x(0) ≈ 0, x(0.95532) ≈ 0.7648, and x(π/2) ≈ 0, providing a correct global argument for the absolute maximum."
student_001,AP-Calc,frq2,P7 - Answer with supporting work for θ,1,1.0,,"The student correctly identifies θ = 0.95532 as the value corresponding to the point farthest from the y-axis, which is accurate to three decimal places."
student_001,AP-Calc,frq2,P8 - Setup showing dr/dθ · dθ/dt,1,1.0,,"The student writes dr/dt = 4sin(1.3)·cos(1.3)·15, correctly showing the chain rule setup of dr/dθ · dθ/dt."
student_001,AP-Calc,frq2,P9 - Correct answer for dr/dt,1,1.0,,"The student computes 1.031 · 15 = 15.465, which is accurate to three decimal places, earning P9."
student_002,AP-Calc,frq2,P1 - Answer with setup for dr/dθ at θ=1.3,1,1.0,,"The student shows r'(θ) = 4sinθcosθ (the derivative) and correctly computes r'(1.3) = 1.031, which is accurate to three decimal places."
student_002,AP-Calc,frq2,P2 - Integrand including (r(θ))^2,1,1.0,,"The student writes (1/2)∫(2sin²θ)² dθ, which includes (r(θ))² in the integrand."
student_002,AP-Calc,frq2,P3 - Correct integrand (difference form),0,1.0,,"The student writes the integral as (1/2)∫₀^π (2sin²θ)² dθ - (1/2)∫(π/2 to 5π/6) (1/2)² dθ, but the limits and structure are incorrect; the correct integrand should be (1/2)∫[(r(θ))² - (1/2)²]dθ over the correct interval [π/6, 5π/6], not as two separate integrals with wrong limits."
student_002,AP-Calc,frq2,P4 - Correct answer (2.066 or 2.067),0,1.0,,No numerical answer is provided for Part B; the student only shows setup work and intersection calculations without computing a final numerical answer.
student_002,AP-Calc,frq2,P5 - Considers dx/dθ = 0,1,1.0,,The student sets 4sinθcos²θ - 2sin³θ = 0 (equivalent to dx/dθ = 0) and works to solve it.
student_002,AP-Calc,frq2,P6 - Justification (global argument),0,1.0,,The student does not provide a complete global justification; they only set dx/dθ = 0 and simplify algebraically but do not evaluate x(θ) at the critical point and endpoints or provide a sign analysis to confirm it is the absolute maximum.
student_002,AP-Calc,frq2,P7 - Answer with supporting work (θ ≈ 0.955),0,1.0,,The student does not arrive at or state the final numerical answer θ ≈ 0.955; they get to 2cos²θ = sin²θ but do not complete the solution to give a decimal answer.
student_002,AP-Calc,frq2,P8 - Setup showing dr/dθ · dθ/dt,1,1.0,,"The student writes dr/dt = 4sinθcosθ · (dθ/dt) with dθ/dt = 15, correctly showing the chain rule setup."
student_002,AP-Calc,frq2,P9 - Correct answer (15.465),1,1.0,,"The student reports 15.465 (reading 15.465 from the image), which is accurate to three decimal places (the correct answer is 15.465)."
student_003,AP-Calc,frq2,P1 (Part A: Answer with setup),1,1.0,,"The student writes r(θ) = 2sin²θ and shows dr/dθ|_{θ=1.3} = 1.031, which is correct to three decimal places with proper notation indicating differentiation of r."
student_003,AP-Calc,frq2,P2 (Part B: Integrand including (r(θ))²),1,1.0,,"The student's integral includes (r(θ))² as part of the integrand ((r(b))² - (1/2)) dθ, earning P2."
student_003,AP-Calc,frq2,P3 (Part B: Correct integrand),0,1.0,,"The integrand written is (r(θ))² - (1/2), but the correct integrand requires the factor of 1/2 and subtracting (1/2)² = 1/4, not 1/2; also the factor of 1/2 outside is missing from the written integral, so the integrand is incorrect."
student_003,AP-Calc,frq2,P4 (Part B: Correct answer),0,1.0,,"The student reports ≈ 0.2065, which is not accurate to three decimal places and does not match the correct answer of 2.067, so P4 is not earned."
student_003,AP-Calc,frq2,P5 (Part C: Considers dx/dθ = 0),0,1.0,,The student writes dx/dθ = 4sinθcos²θ - 2sin³θ but does not set it equal to zero or indicate solving for critical points; the response is incomplete ('The particle is') with no further work.
student_003,AP-Calc,frq2,P6 (Part C: Justification),0,1.0,,No justification is provided; the response is incomplete with only 'The particle is' written.
student_003,AP-Calc,frq2,P7 (Part C: Answer with supporting work),0,1.0,,No answer is given for Part C.
student_003,AP-Calc,frq2,P8 (Part D: dr/dθ · dθ/dt setup),0,1.0,,The student notes dθ/dt = 15 and θ = 1.3 but does not show the chain rule setup dr/dθ · dθ/dt or any calculation.
student_003,AP-Calc,frq2,P9 (Part D: Correct answer),0,1.0,,No numerical answer is provided for Part D.
student_001,AP-Calc,frq3,P1 - Answer with setup,1,1.0,,The student correctly shows R'(1) ≈ (R(2)-R(0))/(2-0) = (100-90)/2 with the difference and quotient using values from the table.
student_001,AP-Calc,frq3,P2 - Units,1,1.0,,The student correctly includes units of 'words/min²' which is acceptable per the rubric.
student_001,AP-Calc,frq3,P3 - Differentiable implies continuous,1,1.0,,"The student explicitly states 'R(t) is differentiable and therefore continuous,' which satisfies the requirement for P3."
student_001,AP-Calc,frq3,P4 - Answer with justification,1,1.0,,"The student states R(0)=90 < 155 < 162=R(10), invokes the IVT, and concludes there must exist a c such that R(c)=155, earning P4."
student_001,AP-Calc,frq3,P5 - Form of trapezoidal sum,1,1.0,,"The student writes (1/2)[2(90+100) + 6(100+150) + 2(150+162)], which correctly shows the trapezoidal sum form with all six factors correct (widths 2, 6, 2 and correct function values)."
student_001,AP-Calc,frq3,P6 - Answer with supporting work,0,1.0,,"The student sets up the trapezoidal sum correctly but does not complete the computation to arrive at a final numerical answer of 1252, so P6 is not earned."
student_001,AP-Calc,frq3,P7 - Integrand,1,1.0,,The student writes the definite integral of W(t) from 0 to 10 with the correct integrand (-3/10)t² + 8t + 100.
student_001,AP-Calc,frq3,P8 - Antiderivative,1,1.0,,"The student correctly computes the antiderivative as (-1/10)t³ + 4t² + 100t, which is correct."
