student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Chem,frq1,Point 01,1.0,1.0,,Two thick lines drawn at 25 and 26 with abundance appearing to be between 10 and 11.
student_001,AP-Chem,frq1,Point 02,1.0,1.0,,Student correctly states Mg-26 has one more neutron (14) than Mg-25 (13).
student_001,AP-Chem,frq1,Point 03,1.0,1.0,,"Student explains that Mg2+ has larger charge than Na+, and smaller charge means weaker Coulombic attraction to water."
student_001,AP-Chem,frq1,Point 04,1.0,1.0,,"Student correctly states Na+ has larger ionic radius, leading to greater separation and weaker Coulombic attraction."
student_001,AP-Chem,frq1,Point 05,1.0,1.0,,"pOH = 3.55, pH = 10.45 correctly calculated."
student_001,AP-Chem,frq1,Point 06,1.0,1.0,,Correctly calculates [Mg2+] = 7.62×10⁻⁴ M using dilution.
student_001,AP-Chem,frq1,Point 07,1.0,1.0,,Correct Ksp expression [Mg2+][OH-]^2.
student_001,AP-Chem,frq1,Point 08,1.0,1.0,,Correct Q = 2.07×10⁻¹¹ calculated.
student_001,AP-Chem,frq1,Point 09,1.0,1.0,,"Student states Q > K and predicts precipitate will form (despite minor 'shift left' wording, the prediction and Q>K justification are correct)."
student_001,AP-Chem,frq1,Point 10,1.0,1.0,,"Student correctly states amount of undissolved Mg(OH)2 decreases, with H+ reducing [OH-] and shifting equilibrium to dissolve more solid."
student_002,AP-Chem,frq1,Point 01,1.0,1.0,,"Two lines drawn at masses 25 and 26 with abundance approximately 10.5%, between 10 and 11."
student_002,AP-Chem,frq1,Point 02,1.0,1.0,,Student states each isotope has a different number of neutrons resulting in different mass.
student_002,AP-Chem,frq1,Point 03,1.0,1.0,,"Student correctly identifies Na+ has smaller charge than Mg2+, leading to weaker attraction."
student_002,AP-Chem,frq1,Point 04,0.0,1.0,,Student says Na+ is bigger but does not connect the larger size to greater distance and thus weaker Coulombic attraction explicitly.
student_002,AP-Chem,frq1,Point 05,1.0,1.0,,"Correct calculation: pOH = 3.55, pH = 10.45."
student_002,AP-Chem,frq1,Point 06,0.0,1.0,,Student calculates 6.475×10^-5 instead of correct 7.62×10^-4; appears to have used wrong total volume or value.
student_002,AP-Chem,frq1,Point 07,1.0,1.0,,Correct Ksp expression [Mg2+][OH-]^2.
student_002,AP-Chem,frq1,Point 08,0.0,1.0,,"Q calculation does not square [OH-] and uses incorrect form (division), giving 0.255 rather than proper Q consistent with parts D and E(i)."
student_002,AP-Chem,frq1,Point 09,1.0,1.0,,"Predicts precipitate forms because Q > Ksp, consistent with their E(ii) answer."
student_002,AP-Chem,frq1,Point 10,0.0,1.0,,Student incorrectly says undissolved Mg(OH)2 increases due to common ion; correct answer is decrease because H+ reacts with OH-.
student_003,AP-Chem,frq1,Point 01,1.0,1.0,,The two lines for Mg-25 and Mg-26 appear to be drawn at approximately equal heights between 10 and 11 on the abundance scale.
student_003,AP-Chem,frq1,Point 02,0.0,1.0,,The student incorrectly attributes the mass difference to ionic charge rather than to a difference in the number of neutrons.
student_003,AP-Chem,frq1,Point 03,0.0,1.0,,The student references electronegativity rather than the smaller charge of Na+ versus Mg2+ as the cause of weaker Coulombic attraction.
student_003,AP-Chem,frq1,Point 04,0.0,1.0,,The student incorrectly states Mg2+ is larger than Na+ and does not correctly connect size to distance and Coulombic attraction.
student_003,AP-Chem,frq1,Point 05,0.0,1.0,,The student calculated pH = 3.553 from the NaOH concentration directly instead of finding pOH first then pH = 10.447.
student_003,AP-Chem,frq1,Point 06,0.0,1.0,,"The student computed 1/0.035 = 28.57 M, which is incorrect; the correct value is 7.62×10^-4 M using M1V1=M2V2 with total volume."
student_003,AP-Chem,frq1,Point 07,0.0,1.0,,"The student wrote Ksp as a quotient including [Mg(OH)2] in the denominator, which is incorrect; Ksp = [Mg2+][OH-]^2."
student_003,AP-Chem,frq1,Point 08,0.0,1.0,,"The Q value of 5.5×10^-5 is not consistent with proper calculation, and the work shown does not square [OH-] correctly."
student_003,AP-Chem,frq1,Point 09,1.0,1.0,,"Student states Q > K so a precipitate will form, which is consistent with their Q value and is an acceptable justification."
student_003,AP-Chem,frq1,Point 10,0.0,1.0,,Student incorrectly states the amount of undissolved Mg(OH)2 increases; the correct answer is decrease as H+ consumes OH- shifting equilibrium to dissolve more solid.
student_001,AP-Chem,frq2,Point 01,1.0,1.0,,Student correctly calculated 0.1600 mol H2O.
student_001,AP-Chem,frq2,Point 02,1.0,1.0,,Student correctly calculated 0.3200 mol H.
student_001,AP-Chem,frq2,Point 03,1.0,1.0,,Student correctly determined empirical formula C3H4O3.
student_001,AP-Chem,frq2,Point 04,1.0,1.0,,Student correctly calculated 0.0880 M HAsc.
student_001,AP-Chem,frq2,Point 05,1.0,1.0,,Student identified pKa = 4.1 within acceptable range.
student_001,AP-Chem,frq2,Point 06,1.0,1.0,,"Student correctly calculated [Asc-]/[HAsc] = 4.0; though question asked for [HAsc]/[Asc-], the boxed ratio matches the rubric's accepted answer."
student_001,AP-Chem,frq2,Point 07,1.0,1.0,,"Student correctly compared trials 1 and 3 showing rate doubles when [HAsc] doubles, indicating first order."
student_001,AP-Chem,frq2,Point 08,1.0,1.0,,Student correctly calculated k = 4.55 × 10^-4.
student_001,AP-Chem,frq2,Point 09,1.0,1.0,,Student included correct units M^-1 s^-1.
student_001,AP-Chem,frq2,Point 10,1.0,1.0,,Student identified ion-dipole forces between I3- and water.
