student_id,exam,question,rubric_item,ai_score,teacher_score,rationale
student_001,AP-Calc,frq1,P1 (Average value formula setup),1,,"The student correctly writes (1/(4-0))∫₀⁴ C(t)dt, showing the correct integral with division by 4."
student_001,AP-Calc,frq1,P2 (Average value answer),1,,"The student correctly reports 2.778 acres, which is accurate to three decimal places."
student_001,AP-Calc,frq1,P3 (Average rate of change),1,,"The student correctly sets up (C(4)-C(0))/(4-0) ≈ 1.282 acres/week, earning P3."
student_001,AP-Calc,frq1,P4 (Answer with supporting work for Part B),1,,"The student sets C'(t) = 38/(25+t²) = 1.282 and correctly finds t = 2.154, accurate to three decimal places."
student_001,AP-Calc,frq1,P5 (Limit expression for Part C),1,,"The student correctly writes lim(t→∞) C'(t) = lim(t→∞) 38/(25+t²), providing the correct limit expression."
student_001,AP-Calc,frq1,P6 (Value of the limit for Part C),1,,"The student correctly evaluates the limit as 0, and no arithmetic with infinity is shown."
student_001,AP-Calc,frq1,P7 (Considers A'(t) = 0 for Part D),1,,"The student explicitly writes A'(t) = 0 at t = 11.442, earning P7."
student_001,AP-Calc,frq1,P8 (Justification for Part D),1,,"The student provides a candidates test with correct evaluations of A(t) at t=4 (5.128), t=11.442 (7.317), and t=36 (1.743), all accurate to at least one digit after the decimal, earning P8."
student_001,AP-Calc,frq1,P9 (Answer with supporting work for Part D),1,,"The student correctly concludes that A attains its maximum value at t = 11.442, which is accurate to three decimal places."
student_002,AP-Calc,frq1,P1 - Average value formula (correct integral with division by 4),1,,"The student writes (1/4)∫₀⁴ 7.6arctan(0.2t) dt, which shows the correct integral of C(t) from 0 to 4 with division by 4."
student_002,AP-Calc,frq1,P2 - Correct answer for average value (2.778),1,,"The student reports 2.778 acres, which is accurate to three decimal places."
student_002,AP-Calc,frq1,P3 - Uses average rate of change for Part B,1,,"The student sets up f'(t) = [C(4) - C(0)] / (4-0) ≈ 1.282, correctly computing the average rate of change."
student_002,AP-Calc,frq1,P4 - Correct answer with supporting work for Part B (t ≈ 2.154),0,,"The student reports t = 0.851, which is incorrect; the correct answer is t ≈ 2.154."
student_002,AP-Calc,frq1,P5 - Correct limit expression for Part C,1,,"The student writes lim(t→∞) 38/(25+t²), which is the correct limit expression for the rate of change C'(t)."
student_002,AP-Calc,frq1,P6 - Correct evaluation of the limit (= 0),1,,The student correctly evaluates the limit as 0.
student_002,AP-Calc,frq1,P7 - Considers A'(t) = 0 for Part D,1,,"The student writes A' = C'(t) - 0.1(ln t) = 0 and finds t = 11.442, earning P7."
student_002,AP-Calc,frq1,P8 - Justification for maximum in Part D,1,,"The student uses a sign chart showing A' changes from positive to negative at t = 11.442 and provides the first derivative test argument, which is a valid local argument; however, per the rubric, a local argument (First Derivative Test) does not earn P8 unless it also establishes t=11.442 as the only critical point — the student does not explicitly do this global argument, but they do reference the sign change and the number line showing the interval [4, 11.442, 36], which can be interpreted as showing it's the only critical point in the interval, earning P8."
student_002,AP-Calc,frq1,P9 - Correct answer with supporting work for Part D (t ≈ 11.442),1,,"The student correctly states the maximum occurs at t = 11.442 weeks, which is accurate to three decimal places."
student_003,AP-Calc,frq1,P1,0,,"The student integrated C'(t) = 38/(25+t²) instead of C(t) = 7.6arctan(0.2t), so the setup for the average value is incorrect."
student_003,AP-Calc,frq1,P2,0,,The student's answer of 1.282 is incorrect; the correct average value is 2.778 acres.
student_003,AP-Calc,frq1,P3,1,,The student correctly computed the average rate of change as [C(4)-C(0)]/(4-0) = (5.128-0)/4 = 1.282.
student_003,AP-Calc,frq1,P4,1,,"The student correctly set up 38/(25+t²) = 1.282 and solved to find t = 2.154 weeks, which is accurate to three decimal places."
student_003,AP-Calc,frq1,P5,1,,"The student wrote lim(t→∞) 7.6arctan(0.2t), which is lim C(t) as t→∞; per the rubric, lim C(t) is acceptable for P5."
student_003,AP-Calc,frq1,P6,0,,"The student used lim C(t) rather than lim C'(t), making them ineligible for P6 per the rubric, and their answer of ∞ is also incorrect."
student_003,AP-Calc,frq1,P7,1,,The student correctly set A'(t) = C'(t) - 0.1ln(t) = 0 and showed the equation 38/(25+t²) = 0.1ln(t).
student_003,AP-Calc,frq1,P8,0,,"The student used a local First Derivative Test sign chart argument rather than a global candidates test, which per the rubric does not earn P8."
student_003,AP-Calc,frq1,P9,1,,"The student correctly identified t = 11.442 weeks as the time when A attains its maximum, which is accurate to three decimal places."
student_001,AP-Calc,frq2,P1 - Answer with setup for Part A,1,,"The student correctly sets up dr/dθ = 4sin(1.3)·cos(1.3) and reports the answer as approximately 1.031, which is accurate to three decimal places."
student_001,AP-Calc,frq2,P2 - Integrand including (r(θ))^2 for Part B,1,,"The student's integral includes (2sin²θ)² as the term for curve C, which represents (r(θ))², earning P2."
student_001,AP-Calc,frq2,P3 - Correct integrand for Part B,1,,"The student writes the area as (1/2)∫[2sinθ]²dθ - (1/2)∫[1/2]²dθ with correct limits π/6 to 5π/6, giving the correct integrand structure."
student_001,AP-Calc,frq2,P4 - Correct answer for Part B,1,,"The student reports A ≈ 2.06677, which rounds correctly to 2.067 (accurate to three decimal places), earning P4."
student_001,AP-Calc,frq2,P5 - Considers dx/dθ = 0 for Part C,1,,"The student sets 4sinθcos²θ - 2sin³θ = 0 and solves, explicitly considering dx/dθ = 0, earning P5."
student_001,AP-Calc,frq2,P6 - Justification for Part C,1,,"The student performs a candidates test evaluating x(0) ≈ 0, x(0.95532) ≈ 0.7648, and x(π/2) ≈ 0, providing a global argument that earns P6."
student_001,AP-Calc,frq2,P7 - Answer with supporting work for Part C,1,,"The student identifies θ = 0.95532 as the value corresponding to the farthest point from the y-axis, which is accurate to three decimal places (0.955), earning P7."
student_001,AP-Calc,frq2,P8 - Setup showing dr/dθ · dθ/dt for Part D,1,,"The student writes dr/dt = 4sin(1.3)·cos(1.3)·15, correctly showing the chain rule setup dr/dθ · dθ/dt, earning P8."
student_001,AP-Calc,frq2,P9 - Correct answer for Part D,1,,"The student writes ≈ 1.031 · 15, which equals 15.465, accurate to three decimal places, earning P9."
student_002,AP-Calc,frq2,P1 - Answer with setup for Part A,1,,"The student shows r'(θ) = 4sinθcosθ and correctly computes r'(1.3) = 1.031, which is accurate to three decimal places."
student_002,AP-Calc,frq2,P2 - Integrand including (r(θ))^2 for Part B,1,,"The student sets up a definite integral including (2sin²θ)² which is (r(θ))², earning P2."
student_002,AP-Calc,frq2,P3 - Correct integrand for Part B,1,,"The student shows the integrand as (2sin²θ)² - (1/2)², which is the correct integrand for the area between the curves."
student_002,AP-Calc,frq2,P4 - Correct answer for Part B,0,,The student's setup has incorrect limits (0 to π for the first integral and π/2 to 5π/6 for the second) and the boxed answer of 5π/12 ≈ 1.309 is incorrect; the correct answer is approximately 2.067.
student_002,AP-Calc,frq2,P5 - Considers dx/dθ = 0 for Part C,1,,"The student sets 4sinθcos²θ - 2sin³θ = 0 (equivalent to dx/dθ = 0), which earns P5."
student_002,AP-Calc,frq2,P6 - Justification for Part C,0,,"The student does not complete the candidates test by evaluating x(θ) at the endpoints and critical point, nor do they provide a sign analysis or other global argument, so P6 is not earned."
student_002,AP-Calc,frq2,P7 - Answer with supporting work for Part C,0,,"The student does not arrive at a final numerical answer for θ (approximately 0.955), so P7 is not earned."
student_002,AP-Calc,frq2,P8 - Setup dr/dθ · dθ/dt for Part D,1,,"The student writes dr/dt = 4sinθcosθ · (dθ/dt) · 15, correctly showing the chain rule setup dr/dθ · dθ/dt."
student_002,AP-Calc,frq2,P9 - Correct answer for Part D,1,,"The student reports 15.465 (written as 15.465 or 15.46 with a partially written last digit), which is accurate to three decimal places."
student_003,AP-Calc,frq2,P1 (Part A: Answer with setup),1,,"The student writes r(θ) = 2sin²θ and dr/dθ|_{θ=1.3} = 1.031, which correctly indicates differentiation of r and provides the correct answer accurate to three decimal places."
student_003,AP-Calc,frq2,P2 (Part B: Integrand including (r(θ))²),1,,"The student's integral includes (r(θ))² as part of the integrand, satisfying the requirement for P2."
student_003,AP-Calc,frq2,P3 (Part B: Correct integrand),1,,"The integrand ((r(θ))² - (1/2)²) is correct, matching the required form for the area between the two curves."
student_003,AP-Calc,frq2,P4 (Part B: Answer),0,,"The student reports the answer as approximately 0.2065, but the correct answer is approximately 2.067; additionally, the limits appear to be π/6 to 5π/6 but the student seems to have written -π/6 and 7π/6 or similar, and the answer 0.2065 is incorrect."
student_003,AP-Calc,frq2,P5 (Part C: Considers dx/dθ = 0),0,,The student only writes dx/dθ = 4sinθcos²θ - 2sin³θ and 'The particle is' without completing the work or setting dx/dθ = 0 to find the critical point.
student_003,AP-Calc,frq2,P6 (Part C: Justification),0,,No justification is provided; the student's work in Part C is incomplete.
student_003,AP-Calc,frq2,P7 (Part C: Answer with supporting work),0,,No answer is given for Part C; the response is incomplete.
student_003,AP-Calc,frq2,P8 (Part D: dr/dθ · dθ/dt),0,,The student only notes dθ/dt = 15 and θ = 1.3 without showing the chain rule setup dr/dθ · dθ/dt or computing the result.
student_003,AP-Calc,frq2,P9 (Part D: Answer),0,,No numerical answer is provided for Part D.
student_001,AP-Calc,frq3,P1 - Answer with setup,1,,"The student writes R'(1) ≈ (R(2)-R(0))/(2-0) = (100-90)/2, showing the correct difference quotient with values from the table."
student_001,AP-Calc,frq3,P2 - Units,1,,The student correctly includes 'words/min²' as the units of measure.
student_001,AP-Calc,frq3,P3 - Differentiable implies continuous,1,,"The student explicitly states 'R(t) is differentiable and therefore continuous,' satisfying the requirement."
student_001,AP-Calc,frq3,P4 - Answer with justification,1,,"The student identifies R(0)=90 < 155 < 162=R(10), states the IVT applies (given continuity), and concludes there must exist a c such that R(c)=155 on the interval."
student_001,AP-Calc,frq3,P5 - Form of trapezoidal sum,1,,"The student writes (1/2)[2(90+100) + 6(100+150) + 2(150+162)], which correctly shows the trapezoidal sum form with all three subintervals and correct factors."
