student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Chem,frq1,A(i),1.0,1.0,,"The student drew two bars at mass 25 and 26 with heights appearing to be approximately 10-11%, which is correct for the given constraint that Mg-25 and Mg-26 have approximately equal abundances that together account for ~21% (100% - 79%)."
student_001,AP-Chem,frq1,A(ii),1.0,1.0,,"The student correctly identified that magnesium-26 has one more neutron (14 neutrons) than magnesium-25 (13 neutrons), which accounts for the difference in mass."
student_001,AP-Chem,frq1,B(i),1.0,1.0,,"The student correctly explained that Mg²⁺ has a larger oxidation number (+2) compared to Na⁺ (+1), and by Coulomb's Law, a larger charge results in a larger attractive force, making Na⁺ have weaker attraction to water."
student_001,AP-Chem,frq1,B(ii),1.0,1.0,,"The student correctly explained that Na⁺ is larger than Mg²⁺, resulting in greater distance between the ion and the oxygen in water, which by Coulomb's Law leads to weaker Coulombic attraction."
student_001,AP-Chem,frq1,C,1.0,1.0,,"The student correctly calculated pOH = 3.55 and pH = 10.45, which matches the expected answer (pOH = 3.553, pH = 10.447) with appropriate rounding and significant figures."
student_001,AP-Chem,frq1,D,1.0,1.0,,"The student correctly used the dilution formula M₁V₁ = M₂V₂ and calculated [Mg²⁺] = 7.62×10⁻⁴ M after mixing, matching the expected answer."
student_001,AP-Chem,frq1,E(i),1.0,1.0,,"The student correctly wrote the Ksp expression as Ksp = [Mg²⁺][OH⁻]², which is the correct form for the solubility product of Mg(OH)₂."
student_001,AP-Chem,frq1,E(ii),1.0,1.0,,"The student correctly calculated Q = (7.62×10⁻⁴)(1.65×10⁻⁴)² = 2.07×10⁻¹¹, which matches the expected answer."
student_001,AP-Chem,frq1,E(iii),1.0,1.0,,"The student correctly predicted that a precipitate will form because Q > Ksp (though the student wrote 'Q > Ksp' implicitly by stating the reaction will shift left), and correctly justified that the ion concentrations exceed those of a saturated solution."
student_001,AP-Chem,frq1,F,1.0,1.0,,"The student correctly determined that the amount of undissolved Mg(OH)₂ will decrease and provided correct justification: added HNO₃ reacts with OH⁻, decreasing [OH⁻], causing Q < Ksp and driving dissolution of more Mg(OH)₂(s) to re-establish equilibrium."
student_002,AP-Chem,frq1,A(i),1.0,1.0,,Student correctly calculated the abundance for Mg-25 and Mg-26 as approximately 10.5% each and drew lines at appropriate heights on the mass spectrum.
student_002,AP-Chem,frq1,A(ii),1.0,1.0,,"Student correctly stated that each isotope has a different number of neutrons, resulting in different masses, which directly addresses the structural difference."
