student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Chem,frq1,Point 01: Mass spectrum lines for Mg-25 and Mg-26 between 10 and 11,1.0,1.0,,Both bars at 25 and 26 appear drawn at approximately the same height between 10 and 11.
student_001,AP-Chem,frq1,Point 02: Mg-26 has one more neutron than Mg-25,1.0,1.0,,"Student states Mg-26 has 14 neutrons while Mg-25 has 13, with the extra neutron causing the mass difference."
student_001,AP-Chem,frq1,Point 03: Charge explanation - smaller charge on Na+ means weaker Coulombic attraction,1.0,1.0,,"Student correctly explains Mg2+ has larger charge than Na+, and per Coulomb's law numerator, larger charge means stronger force, so Na+ has weaker attraction."
student_001,AP-Chem,frq1,"Point 04: Radius explanation - Na+ larger, greater distance, weaker attraction",1.0,1.0,,"Student correctly explains Na+ has larger ionic radius (fewer protons pulling on 10 electrons), greater separation, weaker Coulombic attraction."
student_001,AP-Chem,frq1,Point 05: pH calculation = 10.45,1.0,1.0,,Student correctly calculates pOH = 3.55 and pH = 10.45.
student_001,AP-Chem,frq1,Point 06: [Mg2+] = 7.62 × 10^-4 M,1.0,1.0,,Student correctly calculates 7.62 × 10^-4 M using dilution.
student_001,AP-Chem,frq1,Point 07: Ksp expression = [Mg2+][OH-]^2,1.0,1.0,,Correct expression provided.
student_001,AP-Chem,frq1,Point 08: Q = 2.07 × 10^-11,1.0,1.0,,Student correctly computes Q = 2.07 × 10^-11.
student_001,AP-Chem,frq1,Point 09: Predict precipitate forms because Q > Ksp,1.0,1.0,,Student states Q > K so precipitate forms; the 'shift left' phrasing is acceptable as it produces solid Mg(OH)2.
student_001,AP-Chem,frq1,Point 10: Amount of undissolved Mg(OH)2 decreases with justification,1.0,1.0,,"Student correctly states amount decreases because H+ decreases [OH-], shifting dissolution equilibrium right (Le Chatelier), dissolving more Mg(OH)2."
