student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Chem,frq1,A(i),1.0,1.0,,"The student drew two thick lines on the mass spectrum at mass 25 and mass 26, with abundances appearing to be approximately 10-11%, which meets the rubric requirement."
student_001,AP-Chem,frq1,A(ii),1.0,1.0,,"The student correctly stated that magnesium-26 has one more neutron than magnesium-25 (14 neutrons vs. 13 neutrons), which is the required explanation for the mass difference."
student_001,AP-Chem,frq1,B(i),1.0,1.0,,"The student correctly explains that Mg²⁺ has a larger charge (+2) compared to Na⁺ (+1), resulting in a stronger Coulombic attraction to water, making Na⁺ have weaker attraction."
student_001,AP-Chem,frq1,B(ii),1.0,1.0,,"The student correctly explains that Na⁺ is larger than Mg²⁺, resulting in a larger separation distance between the ion and the oxygen of water, which decreases the Coulombic attraction."
student_001,AP-Chem,frq1,C,1.0,1.0,,"The student correctly calculated pOH = 3.55 using the given [OH⁻] = 2.8 × 10⁻⁴ M and pH = 10.45 using pH = 14 - pOH, which matches the rubric solution."
student_001,AP-Chem,frq1,D,1.0,1.0,,"The student correctly applied the dilution formula M₁V₁ = M₂V₂ to calculate [Mg²⁺] after mixing as 7.62 × 10⁻⁴ M, matching the rubric answer."
student_001,AP-Chem,frq1,E(i),1.0,1.0,,The student wrote the correct Ksp expression: Ksp = [Mg²⁺][OH⁻]².
student_001,AP-Chem,frq1,E(ii),1.0,1.0,,"The student correctly calculated Q = (7.62 × 10⁻⁴)(1.65 × 10⁻⁴)² = 2.07 × 10⁻¹¹, using the values from parts D and the given [OH⁻]."
student_001,AP-Chem,frq1,E(iii),1.0,1.0,,"The student correctly predicts that a precipitate will form because Q > Ksp and explains that the reaction will shift left to approach equilibrium, producing Mg(OH)₂(s)."
student_001,AP-Chem,frq1,F,1.0,1.0,,"The student correctly states that the amount of undissolved Mg(OH)₂(s) decreases and justifies this by explaining that HNO₃ reacts with OH⁻, decreasing [OH⁻], which causes Q < Ksp and more solid to dissolve to reestablish equilibrium."
student_002,AP-Chem,frq1,A(i),1.0,1.0,,"The student correctly plotted thick lines for both Mg-25 and Mg-26 at approximately 10.5% abundance, which falls within the required range of 10-11%."
student_002,AP-Chem,frq1,A(ii),1.0,1.0,,"The student correctly explained that each isotope has a different number of neutrons, resulting in different masses, which matches the rubric requirement."
student_002,AP-Chem,frq1,B(i),1.0,1.0,,"The student correctly explained that Na+ has a smaller charge than Mg2+, resulting in weaker Coulombic attraction to water, which aligns with the rubric explanation."
student_002,AP-Chem,frq1,B(ii),1.0,1.0,,"The student correctly explained that Na+ is larger than Mg2+, so the distance is greater, leading to decreased Coulombic attraction, matching the rubric requirement."
student_002,AP-Chem,frq1,C,0.0,1.0,,"The student calculated pOH = 3.55 and pH = 10.45, but the rubric shows the correct answer should be pOH = 3.553 and pH = 10.447; the student's calculation appears to have a rounding error in the final answer."
student_002,AP-Chem,frq1,D,1.0,1.0,,"The student correctly calculated [Mg2+] = 7.62 × 10^-4 M using the dilution formula M₁V₁ = M₂V₂, matching the rubric solution exactly."
student_002,AP-Chem,frq1,E(i),1.0,1.0,,"The student correctly wrote the Ksp expression as [Mg2+][OH−]², which matches the rubric requirement exactly."
student_002,AP-Chem,frq1,E(ii),0.0,1.0,,"The student calculated Q = 0.255, but the correct answer using the values from parts D and the given [OH−] should be Q = 2.07 × 10^-11; the student's calculation appears to have significant numerical errors."
student_002,AP-Chem,frq1,E(iii),0.0,1.0,,"The student correctly predicted a precipitate would form and stated Q > Ksp, but this conclusion is inconsistent with their incorrect Q value from part E(ii), and the reasoning does not properly justify the comparison as required by the rubric."
student_002,AP-Chem,frq1,F,0.0,1.0,,"The student incorrectly predicted an increase in undissolved Mg(OH)₂, when the correct answer is that it should decrease; the student's explanation about common ion effect and Ksp is backwards compared to the rubric solution."
student_003,AP-Chem,frq1,A(i),1.0,1.0,,"The student drew two thick lines at mass 25 and mass 26 with heights appearing to be between 10 and 11 on the relative abundance scale, meeting the rubric requirement."
student_003,AP-Chem,frq1,A(ii),0.0,1.0,,"The student's answer about ionic charge and electron shells is incorrect; the rubric requires stating that magnesium-26 has one more neutron than magnesium-25, which is a nuclear structure difference, not an ionic charge or electron shell difference."
student_003,AP-Chem,frq1,B(i),1.0,1.0,,"The student correctly explains that Na+ has a weaker attraction to water than Mg2+ because Mg is more electronegative (closer to the correct concept that Mg2+ has a greater charge, resulting in stronger Coulombic attraction)."
student_003,AP-Chem,frq1,B(ii),0.0,1.0,,"The student states that Mg+2 is larger because it has a bigger electron shell, which is incorrect; the rubric requires explaining that Na+ is larger than Mg2+, so distance increases and Coulombic attraction decreases."
student_003,AP-Chem,frq1,C,0.0,1.0,,"The student calculated pH = 3.553 directly from [H2O+] when the problem requires first calculating pOH from [OH-] = 2.80 × 10^-4 M, then finding pH; the student's calculation appears to confuse the hydroxide concentration with hydronium concentration."
student_003,AP-Chem,frq1,D,0.0,1.0,,The student calculated [Mg2+] = 28.57 M using an incorrect method (dividing moles by volume of 0.035 L instead of total volume of 0.085 L); the correct answer is 7.62 × 10^-4 M.
student_003,AP-Chem,frq1,E(i),0.0,1.0,,"The student wrote an incorrect Ksp expression with products in the numerator and reactants in the denominator, whereas the correct expression is Ksp = [Mg2+][OH-]2."
student_003,AP-Chem,frq1,E(ii),0.0,1.0,,The student calculated Q = 5.5 × 10^-5 using incorrect [Mg2+] and [OH-] values from previous errors; the correct answer is 2.07 × 10^-11.
student_003,AP-Chem,frq1,E(iii),1.0,1.0,,"The student correctly predicts that a precipitate will form because Q > K (stated as Q > K with sufficient energy justification), which aligns with the rubric's acceptable responses."
student_003,AP-Chem,frq1,F,0.0,1.0,,"The student stated the amount of undissolved Mg(OH)2 increases, but the correct answer is that it decreases because H+ reacts with OH-, decreasing [OH-], causing Q < Ksp and more solid to dissolve."
student_001,AP-Chem,frq2,A (i),2.0,2.0,,"Student correctly calculated 0.1600 mol H₂O using the conversion factor (1 mol H₂O / 18.029 g H₂O × 2.883 g), matching the expected calculation method and value."
student_001,AP-Chem,frq2,A (ii) - moles of H,2.0,2.0,,"Student correctly determined 0.3200 mol H from 0.1600 mol H₂O using the 2:1 stoichiometric ratio, and also correctly identified 0.2400 mol C from the combustion data."
student_001,AP-Chem,frq2,A (ii) - empirical formula,1.0,1.0,,Student correctly determined the empirical formula as C₃H₄O₃ by establishing the mole ratio of 0.2400 : 0.3200 : 0.2400 = 3 : 4 : 3.
student_001,AP-Chem,frq2,B (i),2.0,2.0,,Student correctly calculated 8.80 × 10⁻⁴ mol NaOH and then correctly converted to 0.0880 M HAsc using proper stoichiometry and unit conversions.
student_001,AP-Chem,frq2,B (ii),1.0,1.0,,"Student correctly identified pKa = 4.1 from the titration curve, which falls within the acceptable range of 4.0-4.3."
student_001,AP-Chem,frq2,B (iii),1.0,1.0,,"Student correctly applied the Henderson-Hasselbalch equation with pH = 4.7 and pKa = 4.1 to obtain [Asc⁻]/[HAsc] = 4.0, showing proper mathematical manipulation."
student_001,AP-Chem,frq2,C (i),1.0,1.0,,"Student correctly explained that comparing trials 1 and 3, when [HAsc] doubles while [I₃⁻] remains constant, the rate doubles, demonstrating first-order dependence on [HAsc]."
student_001,AP-Chem,frq2,C (ii) - calculated value,1.0,1.0,,"Student correctly calculated k = 4.55 × 10⁻⁴ using trial 1 data and the rate law expression, matching the expected calculation."
student_001,AP-Chem,frq2,C (ii) - units,1.0,1.0,,"Student provided the correct units of M⁻¹s⁻¹ (or s⁻¹M⁻¹), which is appropriate for a second-order rate constant."
student_001,AP-Chem,frq2,D,1.0,1.0,,"Student correctly identified ion-dipole forces as the intermolecular force between I₃⁻ (an ion) and water that is absent between I₂ (a nonpolar molecule) and water, explaining the solubility difference."
student_002,AP-Chem,frq2,Point 01,2.0,2.0,,Student correctly calculated 0.1600 mol H₂O using the molar mass conversion (2.883 g ÷ 18.02 g/mol).
student_002,AP-Chem,frq2,Point 02,2.0,2.0,,"Student correctly calculated 0.3200 mol H by multiplying 0.1600 mol H₂O by 2 mol H/mol H₂O, though the notation is somewhat unclear."
student_002,AP-Chem,frq2,Point 03,2.0,2.0,,Student correctly determined the empirical formula as C₃H₄O₃ using the mole ratio method (0.2400 : 0.3200 : 0.2400 = 3 : 4 : 3).
student_002,AP-Chem,frq2,Point 04,0.0,2.0,,"Student provided an answer of [HAsc] = 1.82 × 10⁻¹³ M, which is incorrect; the correct answer should be 0.0880 M, suggesting a fundamental error in the calculation approach."
student_002,AP-Chem,frq2,Point 05,0.0,2.0,,"Student stated pKa = 7.5, which is outside the acceptable range of 4.0-4.3 and indicates misreading of the titration curve."
student_002,AP-Chem,frq2,Point 06,0.0,2.0,,"Student wrote 1/3 as the ratio, which is inconsistent with the Henderson-Hasselbalch equation using either their pKa of 7.5 or the correct pKa of ~4.1."
student_002,AP-Chem,frq2,Point 07,2.0,2.0,,"Student correctly explained that the concentration of HAsc doubles from trial 1 to 3 while the initial rate doubles (from 2.457×10⁻⁴ to 4.914×10⁻⁴), demonstrating first-order dependence on HAsc."
student_002,AP-Chem,frq2,Point 08,1.0,2.0,,"Student attempted the calculation but made an apparent error; the calculation shows 2.457×10⁻⁴/(0.54M²) but the denominator should be (0.450 M)(1.200 M) = 0.540 M², and the result should be 4.55×10⁻⁴ M⁻¹s⁻¹, not 4.55×10⁻⁴ S/M as written."
student_002,AP-Chem,frq2,Point 09,0.0,2.0,,"Student wrote units as S/M, which is incorrect; the correct units should be M⁻¹s⁻¹ or s⁻¹M⁻¹."
student_002,AP-Chem,frq2,Point 10,1.0,2.0,,"Student identified that I₃⁻ and water contain both London dispersion and dipole-dipole forces while I₂ and water only contain London dispersion, which is partially correct but does not specifically identify the ion-dipole interaction as the key difference."
student_003,AP-Chem,frq2,Point 01,2.0,2.0,,Student correctly calculated 0.1600 mol H₂O using the conversion from grams to moles with the correct molar mass (18.02 g/mol).
student_003,AP-Chem,frq2,Point 02,1.0,2.0,,"Student did not explicitly show the calculation of moles of H from the moles of H₂O (should be 0.3200 mol H), though the empirical formula response suggests they may have used this value implicitly."
student_003,AP-Chem,frq2,Point 03,0.0,2.0,,"Student wrote the empirical formula as CHO instead of C₃H₄O₃; while the student recognized the 1:1 C:O ratio requirement, they incorrectly simplified to 1:1:1 instead of the correct 3:4:3 molar ratio."
student_003,AP-Chem,frq2,Point 04,0.0,2.0,,Student did not provide any calculation or answer for the molar concentration of ascorbic acid in Part B(i); the response section for this question is blank.
student_003,AP-Chem,frq2,Point 05,1.0,2.0,,"Student wrote 'pKa = 1 - log(1/10)' which appears to be an incomplete or incorrect setup; while they may have been attempting the Henderson-Hasselbalch equation, the work is unclear and no numerical pKa value is provided in the acceptable range."
student_003,AP-Chem,frq2,Point 06,0.0,2.0,,"Student wrote 'the value is around 12/2.5 ≈ or 13' which is not the correct ratio; the correct answer should be approximately 4.0 or 10^0.6 ≈ 4, not a value around 12 or 13."
student_003,AP-Chem,frq2,Point 07,2.0,2.0,,"Student correctly explained that the reaction is first order with respect to [HAsc] by noting that when [HAsc] doubles (trials 1 and 3) while [I₃⁻] remains constant, the initial rate also doubles."
student_003,AP-Chem,frq2,Point 08,0.0,2.0,,"Student did not complete the calculation of the rate constant k; while they wrote the rate law formula 'k = [HAsc][I₃⁻]' and referenced the integrated rate law, no numerical value for k was calculated."
student_003,AP-Chem,frq2,Point 09,0.0,2.0,,"Student did not provide units for the rate constant; since no numerical value was calculated in Point 08, units cannot be assessed."
student_003,AP-Chem,frq2,Point 10,1.0,2.0,,"Student identified that I₃⁻ has a negative charge and can attract H₂O, which is conceptually related to ion-dipole interactions, but did not explicitly state 'ion-dipole attractions' or clearly contrast with the lack of such interactions in I₂."
student_001,AP-Chem,frq3,A,1.0,1.0,,"The student correctly drew all lone pairs (nonbonding electrons) on each phosphorus atom in the P4 tetrahedral structure, with two dots shown on each of the four P atoms."
student_001,AP-Chem,frq3,B(i),1.0,1.0,,"The student provided a correct particle-level explanation stating that gas molecules have more possible locations and positions than solid molecules, and solids have less entropy than gases because they move slower, causing the entropy of the system to decrease."
student_001,AP-Chem,frq3,B(ii),1.0,1.0,,"The student correctly concluded that the student's claim is correct and justified it using the relationship ΔG° = ΔH° - TΔS°, explaining that because ΔS° is negative, -TΔS° is positive, and therefore only negative ΔH° can make the reaction thermodynamically favorable."
student_001,AP-Chem,frq3,C(i),1.0,1.0,,The student correctly calculated q = 160 J = 0.16 kJ using the formula q = mcΔT with proper values and appropriate significant figures.
student_001,AP-Chem,frq3,C(ii),1.0,1.0,,"The student correctly calculated ΔH°rxn = -450 kJ/mol rxn by converting moles of P4O10 and using the heat value from part C(i), with the correct negative sign indicating an exothermic reaction."
student_001,AP-Chem,frq3,D,1.0,1.0,,"The student correctly concluded that ΔT would be less than the first trial and provided valid justification that less P4O10 present means fewer reactions occur, resulting in less heat transferred to water and a smaller temperature change."
student_001,AP-Chem,frq3,E,1.0,1.0,,"The student correctly applied Hess's Law, adding equation 3 (multiplied by 1/4) and equation 4 to obtain the desired equation 5, and calculated ΔH°f = -375 kJ/mol for PCl5(g)."
student_001,AP-Chem,frq3,F(i),1.0,1.0,,"The student correctly calculated Kp = 0.333 using the partial pressures from the particle diagram, with the formula Kp = P_PCl5 / (P_PCl3 × P_Cl2) = 4.00 / (2.00 × 6.00)."
student_001,AP-Chem,frq3,F(ii),1.0,1.0,,"The student correctly stated that Kp decreases when temperature increases and justified it by identifying that ΔH° is negative (exothermic), so increasing heat shifts the equilibrium toward reactants, decreasing Kp."
student_002,AP-Chem,frq3,A,1.0,1.0,,The student correctly drew the Lewis diagram for P4 with all nonbonding electrons (lone pairs) shown as dots on each phosphorus atom.
student_002,AP-Chem,frq3,B(i),1.0,1.0,,"The student provided a correct particle-level explanation that entropy decreases because gas molecules (more dispersed, more microstates) convert to a solid product (less dispersed, fewer microstates)."
