student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Calc,frq1,P1: Average value formula,1,1.0,,Correct integral with division by 4 shown.
student_001,AP-Calc,frq1,P2: Answer (Part A),1,1.0,,Correct answer 2.778 acres.
student_001,AP-Calc,frq1,P3: Uses average rate of change,1,1.0,,Shows (C(4)-C(0))/(4-0) ≈ 1.282.
student_001,AP-Calc,frq1,P4: Answer with supporting work (Part B),1,1.0,,Sets C'(t)=1.282 and finds t=2.154.
student_001,AP-Calc,frq1,P5: Limit expression,1,1.0,,Correctly writes lim t→∞ C'(t) = lim 38/(25+t²).
student_001,AP-Calc,frq1,P6: Value (Part C),1,1.0,,Correctly evaluates limit as 0.
student_001,AP-Calc,frq1,P7: Considers A'(t)=0,1,1.0,,States A'(t)=0 at t=11.442.
student_001,AP-Calc,frq1,P8: Justification (Part D),1,1.0,,"Candidates test with correct values at t=4, 11.442, and 36."
student_001,AP-Calc,frq1,P9: Answer with supporting work (Part D),1,1.0,,Correct answer t=11.442.
student_002,AP-Calc,frq1,P1: Average value formula,1,1.0,,"Student wrote (1/4)∫₀⁴ 7.6arctan(0.2t) dt, showing the correct integral with division by 4."
student_002,AP-Calc,frq1,P2: Answer,1,1.0,,"Student reported 2.778 acres, accurate to three decimal places."
student_002,AP-Calc,frq1,P3: Uses average rate of change,1,1.0,,"Student set up (C(4)−C(0))/(4−0) = 1.282, correctly computing the average rate of change."
student_002,AP-Calc,frq1,P4: Answer with supporting work,0,1.0,,"Student reported t = 0.851, which is incorrect; the correct value is t = 2.154."
student_002,AP-Calc,frq1,P5: Limit expression,1,1.0,,"Student wrote lim(t→∞) 38/(25+t²), a correct limit expression for C'(t)."
student_002,AP-Calc,frq1,P6: Value,1,1.0,,Student correctly evaluated the limit as 0.
student_002,AP-Calc,frq1,P7: Considers A'(t) = 0,1,1.0,,"Student set A' = C'(t) − 0.1(ln t) = 0, correctly considering the critical point equation."
student_002,AP-Calc,frq1,P8: Justification,0,1.0,,Student claims A' changes from positive to negative without evaluating endpoints (no candidates test) and without showing this is the only critical point on the interval; this is a local argument.
student_002,AP-Calc,frq1,P9: Answer with supporting work,1,1.0,,Student correctly identified t = 11.442 weeks as the location of the maximum.
student_003,AP-Calc,frq1,P1: Average value formula,0,1.0,,"Student integrated C'(t) = 38/(25+t²) instead of C(t), so the integral setup is incorrect for average value of C."
student_003,AP-Calc,frq1,P2: Answer,0,1.0,,"Answer 1.282 is the average rate of change, not the average value (which is 2.778)."
student_003,AP-Calc,frq1,P3: Uses average rate of change,1,1.0,,Student correctly computed (C(4)-C(0))/(4-0) = 1.282.
student_003,AP-Calc,frq1,P4: Answer with supporting work,1,1.0,,Set 38/(25+t²) = 1.282 and obtained t = 2.154 weeks.
student_003,AP-Calc,frq1,P5: Limit expression,0,1.0,,"Student wrote lim of 7.6 arctan(0.2t), which is C(t), not C'(t); however per scoring notes lim C(t) is acceptable for P5."
student_003,AP-Calc,frq1,P6: Value,0,1.0,,"Student evaluated to infinity (or unclear); using lim C(t) makes response ineligible for P6, and value is incorrect anyway."
student_003,AP-Calc,frq1,P7: Considers A'(t) = 0,1,1.0,,Student set A'(t) = C'(t) - 0.1 ln t = 0.
student_003,AP-Calc,frq1,P8: Justification,0,1.0,,Student provided only a sign chart (local first derivative test) without global candidates argument or stating it's the only critical point on the interval.
student_003,AP-Calc,frq1,P9: Answer with supporting work,1,1.0,,Student correctly identified t = 11.442 weeks.
