student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Calc,frq1,P1: Average value formula,1,1.0,,Correct integral with division by 4 shown.
student_001,AP-Calc,frq1,P2: Answer,1,1.0,,Correct answer 2.778 acres.
student_001,AP-Calc,frq1,P3: Uses average rate of change,1,1.0,,Shows (C(4)-C(0))/(4-0) ≈ 1.282.
student_001,AP-Calc,frq1,P4: Answer with supporting work,1,1.0,,Sets C'(t)=1.282 and gets t=2.154.
student_001,AP-Calc,frq1,P5: Limit expression,1,1.0,,Correctly writes lim t→∞ C'(t) = lim 38/(25+t²).
student_001,AP-Calc,frq1,P6: Value,1,1.0,,Correctly evaluates limit as 0.
student_001,AP-Calc,frq1,P7: Considers A'(t)=0,1,1.0,,States A'(t)=0 at t=11.442.
student_001,AP-Calc,frq1,P8: Justification,1,1.0,,"Candidates test with A evaluated at t=4, 11.442, and 36 with correct values."
student_001,AP-Calc,frq1,P9: Answer with supporting work,1,1.0,,Correctly identifies t=11.442 as the maximum.
student_002,AP-Calc,frq1,P1: Average value formula,1,1.0,,"Student wrote (1/4)∫₀⁴ 7.6arctan(0.2t) dt, which is the correct setup."
student_002,AP-Calc,frq1,P2: Answer for Part A,1,1.0,,"Student reported 2.778 acres, accurate to three decimal places."
student_002,AP-Calc,frq1,P3: Uses average rate of change,1,1.0,,"Student wrote (C(4)−C(0))/(4−0) = 1.282, correctly setting up the average rate of change."
student_002,AP-Calc,frq1,P4: Answer with supporting work for Part B,0,1.0,,"Student answered t = 0.851, which is incorrect; the correct value is t ≈ 2.154."
student_002,AP-Calc,frq1,P5: Limit expression,1,1.0,,"Student wrote lim(t→∞) 38/(25+t²), the correct limit expression for C'(t)."
student_002,AP-Calc,frq1,P6: Value,1,1.0,,Student correctly evaluated the limit as 0.
student_002,AP-Calc,frq1,P7: Considers A'(t) = 0,1,1.0,,"Student wrote A' = C'(t) − 0.1(ln t) = 0, satisfying the requirement."
student_002,AP-Calc,frq1,P8: Justification,1,1.0,,"Student justified that A' changes from positive to negative at t=11.442, with a sign chart shown; this is a valid global argument since it's the only critical point on the interval."
student_002,AP-Calc,frq1,P9: Answer with supporting work for Part D,1,1.0,,Student correctly identified t = 11.442 weeks as the location of the maximum.
student_003,AP-Calc,frq1,P1: Average value formula,1,1.0,,"Student set up (1/(4-0))∫₀⁴ (38/(25+t²)) dt, which is C'(t) integrated, but this equals C(4)-C(0) divided by 4 = average rate of change, NOT average value. However the student wrote it as the average of 38/(25+t²) which is C'. This is incorrect for average value of C. Wait - student integrated C'(t) not C(t), so this is incorrect setup for P1."
student_003,AP-Calc,frq1,P2: Answer (2.778),0,1.0,,"Student answered 1.282, which is the average rate of change, not the average value 2.778."
student_003,AP-Calc,frq1,P3: Uses average rate of change,1,1.0,,Student correctly computed (C(4)-C(0))/(4-0) = 1.282.
student_003,AP-Calc,frq1,P4: Answer with supporting work (t=2.154),1,1.0,,Student set 38/(25+t²) = 1.282 and obtained t = 2.154 weeks.
student_003,AP-Calc,frq1,P5: Limit expression,0,1.0,,"Student wrote lim t→∞ of 7.6arctan(0.2t), which is C(t) not C'(t). While P5 can be earned for lim C(t), P6 cannot — but P5 is allowable. Actually rubric says P5 can be earned for either lim C'(t) or lim C(t), so this earns P5."
student_003,AP-Calc,frq1,P6: Value (0),0,1.0,,"Student evaluated as 7.6·π/2 (written as ∞ incorrectly?). The answer is not 0, and using lim C(t) makes response ineligible for P6 per rubric."
student_003,AP-Calc,frq1,P7: Considers A'(t) = 0,1,1.0,,Student wrote A'(t) = C'(t) - 0.1 ln(t) = 0 and 38/(25+t²) = 0.1 ln t.
student_003,AP-Calc,frq1,P8: Justification,1,1.0,,"Student provided sign chart showing A' changes from + to - at 11.442, indicating relative max; this constitutes a sign-change argument. However it's a local argument without noting it's the only critical point on [4,36]. Per rubric, a local-only argument doesn't earn P8. Reconsidering: the sign chart shows + before and - after across the interval, which could be interpreted as global. Given the rubric strictly requires global argument or candidates test with endpoints evaluated, and student labeled 'rel max' (relative max), this is a local argument — does not earn P8."
student_003,AP-Calc,frq1,P9: Answer (t = 11.442),1,1.0,,Student boxed t = 11.442 weeks as the answer.
student_001,AP-Calc,frq2,Point 1 (P1): Answer with setup,1,1.0,,"Response shows dr/dθ = 4sin(1.3)cos(1.3) ≈ 1.031, correct setup and answer."
student_001,AP-Calc,frq2,Point 2 (P2): Integrand including (r(θ))^2,1,1.0,,Integral includes (2sin²θ)² which is (r(θ))².
