student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-History,dbq1,Row A: Thesis/Claim,1,1.0,,"The student provides a historically defensible thesis that establishes a line of reasoning, arguing that the federal government became increasingly involved in the economy in the early-to-middle period due to Keynesian thinking, while the later period was characterized by a more laissez-faire approach as the New Right gained popularity."
student_001,AP-History,dbq1,Row B: Contextualization,1,1.0,,"The student describes the late 19th century laissez-faire approach, referencing Adam Smith, large trusts like Standard Oil and U.S. Steel, and the shift during the Progressive Era and World War I, providing sufficient elaboration of broader historical context relevant to the prompt."
student_001,AP-History,dbq1,Row C: Evidence from Documents,2,2.0,,"The student uses at least four documents (Documents 3, 4, 5, and 7) to support arguments about the changing role of the federal government, accurately describing their content and connecting them to the broader argument."
student_001,AP-History,dbq1,Row C: Evidence Beyond Documents,1,1.0,,"The student provides specific outside evidence by discussing LBJ's Great Society and the creation of Medicare, which is relevant to the argument about the federal government's expanding role in the economy and goes beyond what is found in the documents."
student_001,AP-History,dbq1,Row D: Analysis and Reasoning - Sourcing,1,1.0,,"The student explains the relevance of audience/purpose for at least two documents: for Document 3 they explain the audience was civilians to show the benefits of government spending, and for Document 5 they explain the audience included both big businesses and working-class citizens, connecting these to arguments about the role of government."
student_001,AP-History,dbq1,Row D: Analysis and Reasoning - Complex Understanding,0,1.0,,"While the student makes a basic continuity/change argument, the response does not demonstrate sufficiently sophisticated argumentation—it is unevenly developed, the essay appears cut off, only four documents are meaningfully engaged, and the connections made (e.g., Goldwater and the Moral Majority) contain historical inaccuracies that undermine a complex understanding."
student_002,AP-History,dbq1,Row A: Thesis/Claim,1,1.0,,"The student provides a historically defensible thesis stating that 'the U.S. government extended its federal overreach in the economy, through connecting trade and travel, advocating for equal opportunities to all and the protection of the people via healthcare and many things, and the intake of immigrants to the war effort,' which establishes a line of reasoning with analytic categories."
student_002,AP-History,dbq1,Row B: Contextualization,1,1.0,,"The student describes the pre-1932 period characterized by economic growth due to risky banking practices and the consumer revolution, and mentions that the Great Depression hit on Black Tuesday resulting in a major economic downturn, providing minimally acceptable contextualization relevant to the prompt."
student_002,AP-History,dbq1,Row C: Evidence from Documents,2,2.0,,"The student accurately uses the content of at least four documents (Documents 2, 3, 4, 5, and 6) to support arguments about the changing role of the federal government in the economy, earning the full two points."
student_002,AP-History,dbq1,Row C: Evidence Beyond Documents,1,1.0,,"The student references the sunbelt states and the agricultural boom caused by immigrant labor as evidence beyond the documents relevant to an argument about the changing role of the federal government in the economy, which qualifies as specific evidence beyond the documents."
student_002,AP-History,dbq1,Row D: Analysis and Reasoning - Sourcing,1,1.0,,"The student explains the purpose of Document 4 (to convince political people to provide healthcare coverage for the elderly) and the audience of Document 6 (the government and Congress), explaining how each is relevant to the argument about federal government expansion, meeting the requirement for at least two documents."
student_002,AP-History,dbq1,Row D: Analysis and Reasoning - Complex Understanding,0,1.0,,"The student does not demonstrate a complex understanding through sophisticated argumentation such as explaining multiple perspectives, causes/effects, continuities/changes, or insightful connections; the essay remains largely descriptive without nuanced analysis or effective use of all seven documents."
student_003,AP-History,dbq1,Row A: Thesis/Claim,0,1.0,,The opening sentence merely restates the prompt and the argument that the government created projects that 'led to a great economy' is overgeneralized and does not establish a line of reasoning with analytic categories or reasons for the change.
student_003,AP-History,dbq1,Row B: Contextualization,0,1.0,,"The response does not describe any broader historical context relevant to the prompt (e.g., the Great Depression, laissez-faire era, Gilded Age); it jumps directly into describing document content without situating the argument in a broader historical context."
student_003,AP-History,dbq1,Row C: Evidence from Documents,1,2.0,,"The student accurately describes content from three documents (Doc 3 on the interstate highways, Doc 4 on Kennedy's health care/welfare proposals, Doc 6 on Chávez and farm workers' unions), but does not use a fourth document to support an argument, so only 1 point is earned."
student_003,AP-History,dbq1,Row C: Evidence Beyond Documents,0,1.0,,The response does not introduce any specific historical evidence beyond what is contained in or directly referenced by the documents.
student_003,AP-History,dbq1,Row D: Analysis and Reasoning - Sourcing,0,1.0,,"The student never explains how or why any document's point of view, purpose, historical situation, or audience is relevant to an argument; documents are only described or paraphrased."
student_003,AP-History,dbq1,Row D: Analysis and Reasoning - Complex Understanding,0,1.0,,"The response does not demonstrate sophisticated argumentation, multiple perspectives, corroboration across documents, or any other pathway to earning the complexity point."
student_001,AP-History,leq1,Row A: Thesis/Claim,1,1.0,,"The student provides a historically defensible thesis with a line of reasoning, arguing that Native American societies adapted 'by being forced to convert or abandon ancestral lands, uprising militarily wherever possible, and allowing for trade and cultural exchange as they were pushed westward,' establishing clear categories of argument."
student_001,AP-History,leq1,Row B: Contextualization,1,1.0,,"The student describes broader historical context relevant to the prompt by explaining the diverse pre-contact Native American societies, their regional cultures based on the land, trade networks, and the arrival of Columbus in 1492 leading to European colonization with sufficient elaboration beyond a passing phrase."
student_001,AP-History,leq1,Row C: Evidence,2,2.0,,"The student uses multiple specific pieces of evidence—including the encomienda system, Columbian Exchange, Metacom's (King Philip's) War, the fur trade with French and Dutch, and Pennsylvania's agreements with Native Americans—to support the argument about how Native Americans adapted to European colonists, earning 2 points."
student_001,AP-History,leq1,Row D: Analysis and Reasoning / Complex Understanding,2,2.0,,"The student demonstrates complex understanding by explaining multiple themes and perspectives across different European colonial powers (Spanish, British, French, Dutch), comparing how each led to different Native American adaptations (forced conversion/subjugation, military resistance, diplomatic trade), and uses multiple pieces of evidence to support a nuanced argument about the varied nature of adaptation."
student_002,AP-History,leq1,Row A: Thesis/Claim,1,1.0,,The student provides a historically defensible thesis that establishes a line of reasoning with two categories: 'Native American societies adapted to the presence of European colonists in North America from 1500 to 1754 by fighting with them over territory and assimilating to European culture.'
student_002,AP-History,leq1,Row B: Contextualization,0,1.0,,"While the student mentions Columbus's arrival and European motivations, these are only passing references without appropriate elaboration describing a broader historical context relevant to the prompt."
student_002,AP-History,leq1,Row C: Evidence,2,2.0,,The student provides at least two specific pieces of evidence (King Philip's War and the French and Indian War) and connects them to support the argument about how Native Americans adapted to European colonists through conflict and alliance-making.
student_002,AP-History,leq1,Row D: Analysis and Reasoning / Complex Understanding,1,2.0,,"The student uses historical reasoning (causation and comparison) to frame arguments about Native American adaptation through both resistance and assimilation, but the reasoning is uneven and lacks the sophistication, specificity, or multiple perspectives required for the second point."
student_003,AP-History,leq1,Row A: Thesis/Claim,0,1.0,,The thesis in the introduction ('The Native American greatly adapted to the presence of the Europeans by trading with them and conquring new land westward') is overly general and does not establish a clear line of reasoning with analytic categories or reasons for the claim.
student_003,AP-History,leq1,Row B: Contextualization,0,1.0,,"The opening paragraph mentions that Native Americans had settlements and deep-rooted culture before Europeans arrived, but this is only a passing reference without appropriate elaboration to constitute meaningful contextualization."
student_003,AP-History,leq1,Row C: Evidence,1,2.0,,"The response mentions specific examples such as the exchange of goods/technology (guns and horses), the Seven Years' War, and Pontiac's Rebellion, providing at least two relevant pieces of evidence, but the evidence is not clearly used to support a coherent argument about Native American adaptation, so it earns only 1 point."
student_003,AP-History,leq1,Row D: Analysis and Reasoning / Complex Understanding,1,2.0,,"The response uses some historical reasoning, particularly causation (e.g., disease and technology caused defeat/displacement; trade alliances led to British support), which frames a basic argument, but the reasoning is uneven and lacks the sophistication or multiple perspectives required for the second point."
student_001,AP-History,leq2,Row A: Thesis/Claim,1,1.0,,"The final sentence of the introduction establishes a historically defensible thesis with a line of reasoning by identifying three categories of reform movements (women's rights, labor unions, and immigration reform like Jane Addams) that responded to industrialization's poor conditions."
student_001,AP-History,leq2,Row B: Contextualization,1,1.0,,"The response provides more than a passing reference to the post-Revolutionary debate over manufacturing vs. agrarian society and the market revolution, including specific inventions and developments like the cotton gin and Samuel Slater's textile machine, which constitutes adequate contextualization relevant to industrialization."
student_001,AP-History,leq2,Row C: Evidence,2,2.0,,"The response uses multiple specific pieces of evidence (Lowell mill system, Seneca Falls Convention/Elizabeth Cady Stanton, Knights of Labor, Jane Addams/Hull House) and connects them to an argument about how reform movements responded to industrialization, earning the full 2 points."
student_001,AP-History,leq2,Row D: Analysis and Reasoning / Complex Understanding,1,2.0,,"The response uses causation as a historical reasoning skill throughout (industrialization caused poor conditions which caused reform movements), but it does not demonstrate the complexity required for the second point, such as explaining multiple themes with nuance, making cross-period connections, or demonstrating sophisticated understanding of different perspectives."
student_002,AP-History,leq2,Row A: Thesis/Claim,0,1.0,,"The opening sentence 'Reform movements had a radical responses to Industrialization because of unjust labor and big business' is overgeneralized and does not establish a line of reasoning about how different reform movements responded to industrialization, nor does it provide analytic categories or indicate reasoning beyond a vague claim."
student_002,AP-History,leq2,Row B: Contextualization,0,1.0,,"The response does not describe a broader historical context relevant to the prompt; it only describes aspects of industrialization itself (Lowell girls, big business, working conditions) without connecting to a broader historical development that occurred before, during, or after the time frame."
student_002,AP-History,leq2,Row C: Evidence,1,2.0,,"The response identifies at least two specific historical examples relevant to the topic (the Lowell girls/factory system and Carnegie/big business with horizontal and vertical integration), earning 1 point, but does not use these pieces of evidence to support a developed argument about how reform movements responded to industrialization, so it does not earn the second point."
student_002,AP-History,leq2,Row D: Analysis and Reasoning / Complex Understanding,0,2.0,,"The response does not use historical reasoning (comparison, causation, or continuity and change) to frame or structure an argument, nor does it demonstrate a complex understanding of the historical development; it largely lists facts without analytical framing."
student_003,AP-History,leq2,Row A: Thesis/Claim,0,1.0,,The response restates the prompt ('reform movements responded to industrialization by protesting and telling congress') without establishing a line of reasoning or providing analytic categories that go beyond a simple restatement.
student_003,AP-History,leq2,Row B: Contextualization,0,1.0,,The brief mention that 'people from rural areas were going to more urban areas for better job opportunities' is only a passing reference without the required elaboration to constitute meaningful contextualization.
student_003,AP-History,leq2,Row C: Evidence,0,2.0,,"The response does not identify any specific historical examples (e.g., specific labor unions, strikes, events, or individuals) relevant to the topic; the descriptions of protests and congressional testimony are vague and generic, not meeting the threshold for even one piece of specific evidence."
student_003,AP-History,leq2,Row D: Analysis and Reasoning / Complex Understanding,0,2.0,,"The response does not demonstrate the use of historical reasoning (comparison, causation, continuity and change) to frame or structure an argument, nor does it demonstrate a complex understanding of the historical development."
student_001,AP-History,leq3,Row A: Thesis/Claim,1,1.0,,"The student provides a historically defensible thesis that establishes a line of reasoning by claiming U.S. foreign policy shifted 'from adopting a role of interventionism to adopting policies of isolationism,' which identifies a change over time and gives a reason/category for the argument."
student_001,AP-History,leq3,Row B: Contextualization,1,1.0,,"The student describes the aftermath of the Civil War and abolishment of slavery improving the U.S.'s worldwide reputation as a democratic superpower, and connects expanding trade and economic policies to a broader role in foreign affairs, which constitutes more than a passing reference and is relevant context predating the prompt's time frame."
student_001,AP-History,leq3,Row C: Evidence,2,2.0,,"The student uses multiple specific pieces of evidence (Spanish-American War/Treaty of Paris, Roosevelt Corollary, Platt Amendment, Panama Canal, WWI entry, Senate rejection of Treaty of Versailles/League of Nations, First Red Scare, Dawes Plan) and connects them to support arguments about U.S. interventionism and subsequent isolationism, earning the full 2 points."
student_001,AP-History,leq3,Row D: Analysis and Reasoning / Complex Understanding,2,2.0,,"The student uses continuity and change over time to structure the entire argument (interventionism to isolationism), explains multiple causes for each shift (e.g., cost of WWI, Nye Committee report, Red Scare all contributing to isolationism), and makes connections across multiple events and periods, demonstrating a complex understanding sufficient for the second point."
student_002,AP-History,leq3,Row A: Thesis/Claim,1,1.0,,"The student provides a historically defensible thesis that establishes a line of reasoning: 'the US responded to changes in international disputes by becoming involved in imperialism and creating the Big Stick policy to increase the strength of their foreign policy,' which identifies a cause and direction of change in US foreign policy."
student_002,AP-History,leq3,Row B: Contextualization,1,1.0,,"The student describes the broader historical context of isolationism from the early 1800s and the aftermath of the Civil War and Reconstruction, which is relevant to US foreign policy before 1890 and provides more than a passing reference."
student_002,AP-History,leq3,Row C: Evidence,1,2.0,,"The student identifies at least two specific historical examples relevant to the prompt (the Big Stick policy/Roosevelt Corollary and the League of Nations debate), but neither piece of evidence is clearly used to support a specific argument about how US foreign policy responded to changes in the world; the evidence is mentioned but not explicitly linked to support a well-developed argument, earning only 1 point."
student_002,AP-History,leq3,Row D: Analysis and Reasoning / Complex Understanding,1,2.0,,"The student uses causation to frame an argument (European imperialism caused the US to shift toward a more interventionist foreign policy), earning the first point for historical reasoning, but does not demonstrate complex understanding through sophisticated argumentation, multiple themes, or effective use of four or more pieces of evidence, so the second point is not earned."
student_003,AP-History,leq3,Row A: Thesis/Claim,0,1.0,,The response does not establish a line of reasoning; it merely states that the US got involved in WWI without providing analytic categories or a reason that would constitute a historically defensible thesis.
student_003,AP-History,leq3,Row B: Contextualization,1,1.0,,"The response references George Washington's Farewell Address and describes its warning to stay neutral and avoid foreign alliances, which is an acceptable piece of contextualization with sufficient elaboration."
student_003,AP-History,leq3,Row C: Evidence,1,2.0,,"The response identifies at least two specific historical examples relevant to the topic (World War I, Treaty of Versailles, League of Nations), but does not use these examples to support an argument about how US foreign policy responded to changes in the world, earning only 1 point."
student_003,AP-History,leq3,Row D: Analysis and Reasoning / Complex Understanding,0,2.0,,"The response does not use historical reasoning (causation, comparison, continuity and change) to frame or structure an argument, and the evidence is not connected to a developed argument, so neither the basic nor the complex understanding point is earned."
student_001,AP-History,leq3 copy,Row A: Thesis/Claim,1,1.0,,"The student provides a historically defensible thesis that establishes a line of reasoning: 'it's foreign policy responded to changes in the word from 1890 to 1930 by adopting a role of interventionism to adopting policies of isolationism,' which identifies a change over time and establishes categories of argument."
student_001,AP-History,leq3 copy,Row B: Contextualization,0,1.0,,"The student's opening discussion about the abolishment of slavery and its effect on the US's world reputation is too loosely connected and overgeneralized to constitute accurate, relevant contextualization for US foreign policy from 1890 to 1930, and does not provide sufficient elaboration of a broader historical development that meaningfully connects to the prompt."
student_001,AP-History,leq3 copy,Row C: Evidence,2,2.0,,"The student uses multiple specific pieces of evidence (Spanish-American War/Treaty of Paris, Roosevelt Corollary, Platt Amendment, World War I, rejection of the Treaty of Versailles/League of Nations, Red Scare) and connects them to support arguments about both interventionism and isolationism in US foreign policy."
student_001,AP-History,leq3 copy,Row D: Analysis and Reasoning / Complex Understanding,2,2.0,,"The student demonstrates a complex understanding by explaining both continuity and change over time—detailing how the US shifted from interventionism (Spanish-American War, Roosevelt Corollary, WWI) to isolationism (rejection of League of Nations, Red Scare)—and explores multiple causes for these shifts, including economic, ideological, and political factors, supported by multiple specific pieces of evidence throughout the essay."
student_001,AP-History,saq1,A,1,1.0,,"The student correctly identifies a major difference: Wilentz argues early U.S. politics were more egalitarian and benefitted everyone, while Bouton argues it was an enduring victory for the elite, which aligns with acceptable rubric responses."
student_001,AP-History,saq1,B,1,1.0,,"The student identifies the Bill of Rights as a development not directly mentioned in the excerpts and explains how it supports Wilentz's argument about growing democratic equality, which matches an acceptable rubric response."
student_001,AP-History,saq1,C,1,1.0,,"The student identifies the Whiskey Rebellion as a development not directly mentioned and explains how Washington's suppression of poor farmers supports Bouton's argument that ordinary people could not mobilize effectively against elite power, which is historically defensible and aligns with the rubric's theme of elites retaining power."
student_002,AP-History,saq1,A,1,1.0,,"The student accurately describes a major difference: Wilentz argues that early politics opened opportunities for common people previously excluded from power, while Bouton argues the system was a victory for the elite with the common man lacking political power, which aligns with acceptable rubric responses."
student_002,AP-History,saq1,B,0,1.0,,"The student references the Era of Good Feelings and men's suffrage, but the Era of Good Feelings is generally dated to post-1815/1817 and the student's explanation of 'men voting for the first time' is historically imprecise and underdeveloped; more critically, the Era of Good Feelings is not a well-defined development that clearly supports Wilentz's argument about democratic expansion in the 1789-1820 period, and the suffrage claim lacks the specificity (e.g., states removing property restrictions) needed to earn the point."
student_002,AP-History,saq1,C,0,1.0,,"The student references the Age of Jackson, which falls well outside the specified 1789-1820 time period, and thus cannot earn the point for this rubric item."
student_003,AP-History,saq1,A,1,1.0,,"The student successfully describes a major difference between the two historians' interpretations, noting that Wilentz saw the new government as more egalitarian while Bouton argued it primarily benefited elite men, which aligns with acceptable rubric responses."
student_003,AP-History,saq1,B,0,1.0,,"The student describes the partisan divide between Federalists and Jeffersonians over foreign policy, but does not clearly explain how this supports Wilentz's specific argument about the expansion of democracy or the opening up of the political system; the response is about foreign policy disagreements rather than democratic growth."
student_003,AP-History,saq1,C,0,1.0,,"Bacon's Rebellion occurred in 1676, well outside the required 1789–1820 timeframe, and the student incorrectly references the Articles of Confederation in this context, making the response historically inaccurate and outside the specified period."
student_001,AP-History,saq2,A,1,1.0,,"The student describes a purpose of keeping a peaceful union and mentions that Webster and Whig members argued federal involvement in banking would benefit the country as a whole, which aligns with the acceptable response of promoting the belief that the government had the power to fund internal improvements and work for the common good."
student_001,AP-History,saq2,B,1,1.0,,"The student explains the Missouri Compromise as a development that contributed to the political ideas debated in the speech, describing how it attempted to balance sectional tensions between North and South over slavery, which aligns with the acceptable response that 'attempts to compromise over the expansion of slavery between 1820 and 1848 sought to create national unity.'"
student_001,AP-History,saq2,C,1,1.0,,"The student explains the Dred Scott case and connects it to Webster's speech by noting that the South believed itself to have different political values from the North, which aligns with the acceptable response that 'debates around the Dred Scott decision were similar to Webster's discussion of sectional tensions.'"
student_002,AP-History,saq2,A,1,1.0,,"The student describes the purpose as promoting unity among the states over individual state rights during a time of growing sectionalism, which aligns with the acceptable response of promoting patriotic unity during a time of growing sectionalism."
student_002,AP-History,saq2,B,1,1.0,,"The student explains the Tariff of Abominations and Nullification Crisis as a development that contributed to the political debate over federal vs. state powers, which aligns with the acceptable response about political parties debating the powers of the federal government, such as passing tariffs."
