student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Chem,frq1,Point 01 (A.i - correct plotted lines between 10 and 11),1.0,1.0,,The student drew two lines at mass 25 and 26 that appear to be approximately equal in height and visually fall between 10 and 11 on the relative abundance scale.
student_001,AP-Chem,frq1,Point 02 (A.ii - Mg-26 has one more neutron than Mg-25),1.0,1.0,,"The student correctly states that Mg-26 has 14 neutrons while Mg-25 has 13 neutrons, identifying that the additional neutron accounts for the difference in mass."
student_001,AP-Chem,frq1,Point 03 (B.i - smaller charge on Na+ results in weaker Coulombic attraction),1.0,1.0,,"The student correctly explains that Mg2+ has a larger charge (+2) than Na+ (+1), and from Coulomb's law, a larger charge means a larger force, so Na+ has a weaker attraction to water."
student_001,AP-Chem,frq1,"Point 04 (B.ii - Na+ is larger than Mg2+, greater distance means weaker attraction)",1.0,1.0,,"The student correctly explains that Na+ has a larger ionic radius than Mg2+ due to less proton pull on the electron cloud, resulting in greater separation and thus weaker Coulombic attraction to water."
student_001,AP-Chem,frq1,Point 05 (C - correct pH calculation),1.0,1.0,,"The student correctly calculates pOH = -log(2.8×10⁻⁴) = 3.55 and pH = 14 - 3.55 = 10.45, which is consistent with the rubric answer of 10.447."
student_001,AP-Chem,frq1,Point 06 (D - correct [Mg2+] calculation),1.0,1.0,,"The student correctly calculates [Mg2+] = (1.85×10⁻³)(0.03500)/(0.08500) = 7.62×10⁻⁴ M, matching the rubric answer."
student_001,AP-Chem,frq1,Point 07 (E.i - correct Ksp expression),1.0,1.0,,"The student correctly writes Ksp = [Mg2+][OH⁻]², which matches the required expression."
student_001,AP-Chem,frq1,Point 08 (E.ii - correct Q calculation consistent with parts D and E.i),1.0,1.0,,"The student correctly calculates Q = (7.62×10⁻⁴)(1.65×10⁻⁴)² = 2.07×10⁻¹¹, consistent with parts D and E.i."
student_001,AP-Chem,frq1,Point 09 (E.iii - correct prediction and justification using Q vs Ksp),1.0,1.0,,"The student correctly states that since Q > K, the reaction shifts left, producing Mg(OH)2(s), so a precipitate will form."
student_001,AP-Chem,frq1,Point 10 (F - decrease with correct justification),1.0,1.0,,"The student correctly states the amount decreases and justifies it by explaining that H+ from HNO3 reacts with OH⁻, decreasing [OH⁻], causing Q < K, which shifts the equilibrium right (dissolving more Mg(OH)2(s))."
