student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-History,dbq1,Row A: Thesis/Claim,1,1.0,,"The thesis establishes a line of reasoning by arguing that the federal government was very involved in the early/middle part of the period due to Keynesian thinking, but became more laissez-faire later due to the New Right."
student_001,AP-History,dbq1,Row B: Contextualization,1,1.0,,"The response describes laissez-faire economics in the late 19th century, Adam Smith, trusts, and Progressive Era changes, providing relevant context before 1932."
student_001,AP-History,dbq1,Row C: Evidence from Documents,2,2.0,,"The response uses Documents 3, 4, 5, and 7 (briefly) to support an argument about changing federal involvement in the economy."
student_001,AP-History,dbq1,Row C: Evidence Beyond Documents,1,1.0,,"The response describes LBJ's Great Society, War on Poverty, and Medicare with sufficient elaboration as evidence beyond the documents."
student_001,AP-History,dbq1,Row D: Sourcing,0,1.0,,The response identifies audiences for Documents 3 and 5 but does not adequately explain how or why these audiences are relevant to an argument; the explanations are superficial and do not clearly connect audience to a historical argument.
student_001,AP-History,dbq1,Row D: Complex Understanding,0,1.0,,"The response presents a basic two-part argument but does not develop sophisticated argumentation, multiple perspectives with nuance, or effective use of evidence demonstrating complex understanding."
student_002,AP-History,dbq1,Row A: Thesis/Claim,1,1.0,,"The thesis identifies that the federal government extended its role through specific categories: connecting trade/travel, advocating for equal opportunity and healthcare, and immigration for war effort, establishing a line of reasoning."
student_002,AP-History,dbq1,Row B: Contextualization,1,1.0,,"The response describes pre-1932 context including risky banking practices, the consumer revolution, and the Great Depression hitting on Black Tuesday, which is relevant to the prompt."
student_002,AP-History,dbq1,Row C: Evidence from Documents,2,2.0,,"The response accurately describes and uses content from Documents 2, 3, 4, 5, and 6 to support arguments about federal government's expanding role in the economy."
student_002,AP-History,dbq1,Row C: Evidence Beyond Documents,1,1.0,,"The response uses Eisenhower and the Interstate Highway System, and references the rise of the Sunbelt agricultural boom, as specific evidence beyond the documents."
student_002,AP-History,dbq1,Row D: Sourcing,0,1.0,,"Only Document 4 has a clear purpose explanation; the audience reference for Document 6 is too brief and doesn't clearly explain how/why audience is relevant to an argument, falling short of two adequately sourced documents."
student_002,AP-History,dbq1,Row D: Complex Understanding,0,1.0,,"The response does not demonstrate complex understanding through multiple perspectives, nuance, or sophisticated argumentation; it largely presents a one-sided narrative of expansion without addressing the conservative reaction or qualifying its argument."
student_003,AP-History,dbq1,Row A: Thesis/Claim,0,1.0,,The response largely restates the prompt and makes a vague claim about funding projects without establishing a clear line of reasoning or analytic categories.
student_003,AP-History,dbq1,Row B: Contextualization,0,1.0,,"The response does not describe a broader historical context (such as the Great Depression, New Deal, or Cold War) before, during, or after the time period."
student_003,AP-History,dbq1,Row C: Evidence from Documents,1,2.0,,"The response describes the content of three documents (3, 4, 6) but does not use four documents to support an argument."
