student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Chem,frq1,Point 01,1,1.0,,"The student drew lines for Mg-25 and Mg-26 that appear to be between 10 and 11 on the relative abundance scale, which is correct given that the remaining ~21% is split approximately equally between the two isotopes."
student_001,AP-Chem,frq1,Point 02,1,1.0,,"The student correctly stated that Mg-26 has 14 neutrons while Mg-25 has 13 neutrons, identifying the one additional neutron as responsible for the difference in mass."
student_001,AP-Chem,frq1,Point 03,1,1.0,,"The student correctly explained that Mg²⁺ has a larger charge (+2) than Na⁺ (+1), and from Coulomb's law a larger charge results in a stronger attraction to water, making Na⁺ have a weaker attraction."
student_001,AP-Chem,frq1,Point 04,1,1.0,,"The student correctly explained that Na⁺ has a larger ionic radius than Mg²⁺ due to less proton pull on the electron cloud, leading to greater distance and thus weaker Coulombic attraction to water."
student_001,AP-Chem,frq1,Point 05,1,1.0,,"The student correctly calculated pOH = -log(2.8×10⁻⁴) = 3.55 and pH = 14 - 3.55 = 10.45, which matches the expected answer of 10.447."
student_001,AP-Chem,frq1,Point 06,1,1.0,,"The student correctly calculated [Mg²⁺] = (1.85×10⁻³)(0.03500)/(0.08500) = 7.62×10⁻⁴ M after mixing, showing the correct dilution calculation."
student_001,AP-Chem,frq1,Point 07,1,1.0,,The student correctly wrote Ksp = [Mg²⁺][OH⁻]².
student_001,AP-Chem,frq1,Point 08,1,1.0,,"The student correctly calculated Q = (7.62×10⁻⁴)(1.65×10⁻⁴)² = 2.07×10⁻¹¹, consistent with parts D and E(i)."
student_001,AP-Chem,frq1,Point 09,1,1.0,,"The student correctly stated that since Q > Ksp, the reaction shifts left to produce Mg(OH)₂(s), so a precipitate will form."
student_001,AP-Chem,frq1,Point 10,1,1.0,,"The student correctly stated that the amount of undissolved Mg(OH)₂(s) decreases, with proper justification that H⁺ from HNO₃ reacts with OH⁻, decreasing [OH⁻] and causing Q < Ksp, which shifts the equilibrium right, dissolving more Mg(OH)₂(s)."
student_002,AP-Chem,frq1,Point 01,1,1.0,,The student calculated 10.5% for each isotope and the drawn lines on the mass spectrum for Mg-25 and Mg-26 appear to be between 10 and 11 on the relative abundance axis.
student_002,AP-Chem,frq1,Point 02,1,1.0,,"The student stated that each isotope has a different number of neutrons resulting in each having a different mass, which correctly identifies neutron number as the structural difference."
student_002,AP-Chem,frq1,Point 03,1,1.0,,"The student correctly explained that Na+ has a smaller charge than Mg2+, resulting in a weaker Coulombic attraction to water."
student_002,AP-Chem,frq1,Point 04,1,1.0,,"The student correctly stated that Na+ is bigger than Mg2+, so the nucleus does not have as strong a pull, correctly connecting larger radius to weaker Coulombic attraction."
student_002,AP-Chem,frq1,Point 05,1,1.0,,"The student correctly calculated pOH = 3.55 and pH = 14 - 3.55 = 10.45, which is consistent with the correct answer of 10.447."
student_002,AP-Chem,frq1,Point 06,0,1.0,,The student's work for part D is unclear and appears to show 6.475×10^-5 circled rather than the correct value of 7.62×10^-4 M for [Mg2+] after mixing.
student_002,AP-Chem,frq1,Point 07,1,1.0,,The student correctly wrote Ksp = [Mg2+][OH-]^2.
