student_id,exam,question,rubric_item,ai_score,teacher_score,rationale
student_001,AP-History,dbq1,Row A: Thesis/Claim - Student 1,1,,"Student 1 provides a historically defensible thesis that establishes a line of reasoning, arguing that the federal government became very involved in the economy from 1932 to 1980 due to Keynesian economic thinking, but the later part was characterized by more laissez-faire intervention as the New Right became popularized."
student_001,AP-History,dbq1,Row A: Thesis/Claim - Student 2,1,,"Student 2 provides a historically defensible thesis that establishes a line of reasoning by arguing the U.S. government extended its federal reach in the economy through connecting trade and travel, advocating for equal opportunities, healthcare, and immigrant labor."
student_001,AP-History,dbq1,Row A: Thesis/Claim - Student 3,0,,"Student 3's thesis is overgeneralized and does not establish a clear line of reasoning about the extent of change, merely stating the government created and funded projects that benefited everyone and led to a great economy."
student_001,AP-History,dbq1,Row B: Contextualization - Student 1,1,,"Student 1 adequately describes the broader historical context of laissez-faire economics in the late 19th century, referencing Adam Smith, large trusts, and the shift toward greater government involvement under Progressive presidents and WWI."
student_001,AP-History,dbq1,Row B: Contextualization - Student 2,1,,"Student 2 describes the broader historical context of the pre-1932 period, including the economic boom of the 1920s driven by risky banking practices and the consumer revolution, followed by the Great Depression on Black Tuesday."
student_001,AP-History,dbq1,Row B: Contextualization - Student 3,0,,"Student 3 does not provide any broader historical context relevant to the prompt, jumping directly into discussing the documents without situating the topic in a broader historical framework."
student_001,AP-History,dbq1,Row C: Evidence from Documents - Student 1,2,,"Student 1 uses at least four documents (Documents 3, 4, 5, and 7) to support arguments about the changing role of the federal government, connecting each to the broader argument about Keynesian economics and the rise of the New Right."
student_001,AP-History,dbq1,Row C: Evidence from Documents - Student 2,2,,"Student 2 uses five documents (Documents 2, 3, 4, 5, and 6) to support an argument about the expanding role of the federal government in the economy from 1932 to 1980."
student_001,AP-History,dbq1,Row C: Evidence from Documents - Student 3,1,,"Student 3 describes content from three documents (Documents 3, 4, and 6) to address the topic but does not use four documents in support of an argument, and the descriptions are not consistently tied to a clear argument."
student_001,AP-History,dbq1,Row C: Evidence Beyond Documents - Student 1,1,,"Student 1 provides specific evidence beyond the documents by discussing LBJ's Great Society and the creation of Medicare, which is relevant to the argument about the federal government's expanding economic role."
student_001,AP-History,dbq1,Row C: Evidence Beyond Documents - Student 2,0,,"Student 2 references Henry Clay's American System and the sunbelt, but these are passing references without sufficient elaboration to constitute specific historical evidence beyond the documents relevant to an argument."
student_001,AP-History,dbq1,Row C: Evidence Beyond Documents - Student 3,0,,Student 3 does not provide any specific historical evidence beyond the documents to support an argument about the prompt.
student_001,AP-History,dbq1,Row D: Sourcing - Student 1,1,,"Student 1 explains the relevance of the audience for Document 3 (showing civilians the benefits of government spending) and the audience/purpose for Document 5 (appealing to both big businesses and working-class citizens), meeting the requirement for two documents."
student_001,AP-History,dbq1,Row D: Sourcing - Student 2,1,,"Student 2 explains the purpose of Document 4 (to convince political leaders to provide healthcare for elderly) and the audience of Document 6 (government and Congress), which are relevant to arguments about the prompt."
student_001,AP-History,dbq1,Row D: Sourcing - Student 3,0,,"Student 3 does not explain how or why any document's point of view, purpose, historical situation, or audience is relevant to an argument."
student_001,AP-History,dbq1,Row D: Complexity - Student 1,0,,"While Student 1 attempts to show change over time with two phases, the argument is underdeveloped, the essay is cut off, and the Moral Majority/New Right conflation is inaccurate, preventing a sophisticated demonstration of complexity."
student_001,AP-History,dbq1,Row D: Complexity - Student 2,0,,"Student 2's argument is broadly descriptive without demonstrating sophisticated complexity such as multiple causes, nuanced perspectives, or insightful connections that clearly relate to the prompt."
student_001,AP-History,dbq1,Row D: Complexity - Student 3,0,,"Student 3's response is too simplistic and descriptive to demonstrate a complex understanding of the historical development, lacking sophisticated argumentation or effective use of evidence."
student_002,AP-History,dbq1,Row A Thesis/Claim,1,,"The student provides a historically defensible thesis with a line of reasoning arguing that the federal government became very involved in the economy in the early-to-middle part of the period due to Keynesian thinking, while the later part was characterized by more laissez-faire intervention as the New Right emerged."
student_002,AP-History,dbq1,Row B Contextualization,1,,"The student describes broader historical context by explaining that the U.S. adopted laissez-faire economics in the late 19th century, followed by Progressive Era presidents and WWI involvement, situating the period's changes in a longer trajectory of evolving government economic roles."
student_002,AP-History,dbq1,Row C Evidence from Documents,2,,"The student uses Documents 3, 4, 5, and 7 to support arguments about government economic intervention and the rise of the New Right, earning both points for using at least four documents in support of an argument."
student_002,AP-History,dbq1,Row C Evidence Beyond Documents,1,,"The student provides specific evidence beyond the documents by discussing Lyndon B. Johnson's Great Society, War on Poverty, and Medicare as examples of continued federal economic intervention after Kennedy."
student_002,AP-History,dbq1,Row D Analysis and Reasoning Sourcing,1,,"The student successfully explains the relevance of audience for Document 3, historical situation for Documents 4 and 5, and historical situation for Document 7, meeting the requirement for at least two documents with explained sourcing."
student_002,AP-History,dbq1,Row D Analysis and Reasoning Complex Understanding,1,,"The student demonstrates complex understanding by explaining sourcing for four documents and by drawing an insightful cross-period comparison between the 1932–1980 debate over government economic intervention and the Federalist vs. Democratic-Republican debates in the early republic, while also noting key differences."
student_001,AP-History,leq1,Student 1 - Row A: Thesis/Claim,1,,"The student provides a historically defensible thesis that establishes a line of reasoning with analytic categories: 'Native American societies adapted to the presence of European colonists by being forced to convert or abandon ancestral lands, uprising militarily wherever possible, and allowing for trade and cultural exchange as they were pushed westward.'"
student_001,AP-History,leq1,Student 1 - Row B: Contextualization,1,,"The student describes pre-contact Native American societies with appropriate elaboration, explaining regional diversity, trade networks, and the role of geography in shaping Native American cultures before European arrival, which provides relevant broader historical context."
student_001,AP-History,leq1,Student 1 - Row C: Evidence,2,,"The student uses multiple specific pieces of evidence (encomienda system, Columbian Exchange, casta system, King Philip's/Metacom's War, Pennsylvania/William Penn, fur trade with French and Dutch) to support arguments about how Native Americans adapted to European colonists in varied ways."
student_001,AP-History,leq1,Student 1 - Row D: Analysis and Reasoning / Complex Understanding,2,,"The student demonstrates complex understanding by comparing multiple European colonial powers (Spanish, British, French, Dutch) and explaining how their different goals and strategies produced different Native American adaptations, exploring multiple themes and perspectives with supporting evidence throughout the essay."
