student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Calc,frq1,P1: Average value formula,1,1.0,,Correct integral 1/(4-0) ∫₀⁴ C(t)dt with division by 4 shown.
student_001,AP-Calc,frq1,P2: Answer,1,1.0,,Correct answer 2.778 acres.
student_001,AP-Calc,frq1,P3: Uses average rate of change,1,1.0,,Shows (C(4)-C(0))/(4-0) ≈ 1.282.
student_001,AP-Calc,frq1,P4: Answer with supporting work,1,1.0,,Sets C'(t)=38/(25+t²)=1.282 and finds t=2.154.
student_001,AP-Calc,frq1,P5: Limit expression,1,1.0,,Correctly writes lim t→∞ C'(t) = lim t→∞ 38/(25+t²).
student_001,AP-Calc,frq1,P6: Value,1,1.0,,Correctly evaluates limit as 0.
student_001,AP-Calc,frq1,P7: Considers A'(t)=0,1,1.0,,States A'(t)=0 at t=11.442.
student_001,AP-Calc,frq1,P8: Justification,1,1.0,,"Provides candidates test with A(4)=5.128, A(11.442)=7.317, A(36)=1.743, identifying largest."
student_001,AP-Calc,frq1,P9: Answer with supporting work,1,1.0,,Correct answer t=11.442.
student_002,AP-Calc,frq1,P1: Average value formula,1,1.0,,"Student shows (1/4)∫₀⁴ 7.6arctan(0.2t)dt, which is the correct integral with division by 4."
student_002,AP-Calc,frq1,P2: Answer,1,1.0,,"Student reports 2.778 acres, accurate to three decimal places."
student_002,AP-Calc,frq1,P3: Uses average rate of change,1,1.0,,Student presents (C(4)-C(0))/(4-0) = 1.282.
student_002,AP-Calc,frq1,P4: Answer with supporting work,0,1.0,,"Student reports t = 0.851, which is incorrect; the correct value is t = 2.154."
student_002,AP-Calc,frq1,P5: Limit expression,1,1.0,,"Student writes lim(t→∞) 38/(25+t²), a correct limit expression for C'(t)."
student_002,AP-Calc,frq1,P6: Value,1,1.0,,Student correctly evaluates the limit as 0.
student_002,AP-Calc,frq1,P7: Considers A'(t)=0,1,1.0,,Student writes A' = C'(t) - 0.1(ln t) = 0.
student_002,AP-Calc,frq1,P8: Justification,1,1.0,,"Student includes a sign chart showing A' changes from positive to negative at t=11.442, which serves as a global argument since it's the only critical point."
student_002,AP-Calc,frq1,P9: Answer with supporting work,1,1.0,,Student correctly reports t = 11.442 weeks.
student_003,AP-Calc,frq1,P1 - Average value formula,1,1.0,,"Student set up (1/(4-0))∫₀⁴(38/(25+t²))dt, which is the correct average value formula using C'(t); since this integral equals 1.282 (average rate of change), the answer in part A is wrong but the integral with division by 4 is presented... actually this is the integral of C'(t), not C(t). The setup uses C'(t) instead of C(t), so it does not match the average value of C."
student_003,AP-Calc,frq1,P2 - Answer,0,1.0,,"Student reported 1.282 as the average number of acres, but the correct answer is 2.778; the student computed average rate of change instead of average value."
student_003,AP-Calc,frq1,P3 - Uses average rate of change,1,1.0,,Student correctly wrote (C(4)-C(0))/(4-0) = 5.128/4 = 1.282.
student_003,AP-Calc,frq1,P4 - Answer with supporting work,1,1.0,,Student set 38/(25+t²) = 1.282 and obtained t = 2.154 weeks.
student_003,AP-Calc,frq1,P5 - Limit expression,0,1.0,,"Student wrote lim(t→∞) 7.6arctan(0.2t), which is lim C(t), but the question asks about rate of change; while P5 allows lim C(t), the student's evaluation uses 7.6·π/2... wait, student wrote 7.6·∞ which is incorrect notation but the limit expression itself lim C(t) is acceptable for P5."
student_003,AP-Calc,frq1,P6 - Value,0,1.0,,"Student wrote the limit equals ∞ (using 7.6·∞), which is incorrect; also, since student used lim C(t) rather than lim C'(t), per scoring notes this response is not eligible for P6."
student_003,AP-Calc,frq1,P7 - Considers A'(t) = 0,1,1.0,,Student wrote A'(t) = C'(t) - 0.1ln(t) = 0 and 38/(25+t²) = 0.1ln(t).
student_003,AP-Calc,frq1,P8 - Justification,0,1.0,,"Student provided only a sign chart showing A' changes from + to - at 11.442 (a local argument labeled 'rel max'), without a global argument or candidates test, so P8 is not earned."
student_003,AP-Calc,frq1,P9 - Answer with supporting work,1,1.0,,Student correctly identified t = 11.442 weeks as the maximum.
student_001,AP-Calc,frq2,P1: Answer with setup (Part A),1,1.0,,"Student shows 4sin(1.3)cos(1.3) ≈ 1.031, which is correct setup and answer."
student_001,AP-Calc,frq2,P2: Integrand including (r(θ))^2 (Part B),1,1.0,,Student's integral includes (2sin²θ)² which is (r(θ))².
student_001,AP-Calc,frq2,P3: Integrand (Part B),1,1.0,,"Student writes (1/2)∫(2sin²θ)²dθ - (1/2)∫(1/2)²dθ, a correct integrand."
student_001,AP-Calc,frq2,P4: Answer (Part B),1,1.0,,Student reports A ≈ 2.06677 with correct limits π/6 to 5π/6.
student_001,AP-Calc,frq2,P5: Considers dx/dθ = 0 (Part C),1,1.0,,Student sets 4sinθcos²θ - 2sin³θ = 0.
student_001,AP-Calc,frq2,P6: Justification (Part C),1,1.0,,"Student performs candidates test evaluating x at 0, 0.95532, and π/2, providing a global argument."
student_001,AP-Calc,frq2,P7: Answer with supporting work (Part C),1,1.0,,"Student gives θ = 0.95532, accurate to three decimal places."
student_001,AP-Calc,frq2,P8: dr/dθ · dθ/dt (Part D),1,1.0,,Student writes dr/dt = 4sinθ·cosθ·dθ/dt and evaluates as 1.031·15.
student_001,AP-Calc,frq2,P9: Answer (Part D),0,1.0,,Student leaves answer as 1.031·15 without computing the final numerical value of 15.465.
student_002,AP-Calc,frq2,P1: Answer with setup (Part A),1,1.0,,Student shows dr/dθ = 4sinθcosθ and r'(1.3) = 1.031.
student_002,AP-Calc,frq2,P2: Integrand including (r(θ))^2 (Part B),1,1.0,,Student presents (1/2)∫(2sin²θ)² dθ which includes (r(θ))².
student_002,AP-Calc,frq2,P3: Integrand (Part B),1,1.0,,"Student writes (1/2)∫(2sin²θ)²dθ - (1/2)∫(1/2)²dθ, the correct integrand structure."
student_002,AP-Calc,frq2,P4: Answer (Part B),0,1.0,,"Limits used are 0 to π and π/6 to 5π/6, which are incorrect; final answer 5π/12 is wrong."
student_002,AP-Calc,frq2,P5: Considers dx/dθ = 0 (Part C),1,1.0,,Student sets 4sinθcos²θ - 2sin³θ = 0.
student_002,AP-Calc,frq2,P6: Justification (Part C),0,1.0,,"No justification (no candidates test, sign analysis, or second derivative test) is provided."
student_002,AP-Calc,frq2,P7: Answer with supporting work (Part C),0,1.0,,Student does not provide a final numerical answer for θ; work is incomplete.
student_002,AP-Calc,frq2,P8: dr/dθ · dθ/dt (Part D),1,1.0,,Student writes dr/dt = 4sinθcosθ · dθ/dt with dθ/dt = 15.
student_002,AP-Calc,frq2,P9: Answer (Part D),1,1.0,,"Student gives 15.465, the correct answer."
student_003,AP-Calc,frq2,P1,1,1.0,,"Student shows dr/dθ at θ=1.3 = 1.031, correct setup and answer."
student_003,AP-Calc,frq2,P2,1,1.0,,Integral includes (r(θ))^2 term.
student_003,AP-Calc,frq2,P3,0,1.0,,"Integrand subtracts (1/2) instead of (1/2)^2 = 1/4, so the integrand is incorrect."
student_003,AP-Calc,frq2,P4,0,1.0,,Answer 0.2065 is incorrect; correct answer is 2.067.
student_003,AP-Calc,frq2,P5,0,1.0,,Student does not consider dx/dθ = 0 or critical points.
student_003,AP-Calc,frq2,P6,0,1.0,,No justification provided beyond 'The particle is'.
