student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Chem,frq1,Point 01,1.0,1.0,,Bars for Mg-25 and Mg-26 appear drawn between 10 and 11 on the abundance scale.
student_001,AP-Chem,frq1,Point 02,1.0,1.0,,Student correctly states Mg-26 has one more neutron (14) than Mg-25 (13).
student_001,AP-Chem,frq1,Point 03,1.0,1.0,,Student correctly explains Na+ has smaller charge than Mg2+ leading to weaker Coulombic attraction.
student_001,AP-Chem,frq1,Point 04,1.0,1.0,,"Student correctly explains Na+ has larger radius, increasing distance and decreasing Coulombic attraction."
student_001,AP-Chem,frq1,Point 05,1.0,1.0,,pH calculated correctly as 10.45.
student_001,AP-Chem,frq1,Point 06,1.0,1.0,,Correctly calculated [Mg2+] = 7.62 × 10^-4 M.
student_001,AP-Chem,frq1,Point 07,1.0,1.0,,Ksp expression correctly written as [Mg2+][OH-]^2.
student_001,AP-Chem,frq1,Point 08,1.0,1.0,,Q correctly calculated as 2.07 × 10^-11.
student_001,AP-Chem,frq1,Point 09,1.0,1.0,,Student correctly states Q > K so a precipitate will form.
student_001,AP-Chem,frq1,Point 10,1.0,1.0,,"Student correctly states amount of undissolved Mg(OH)2 decreases, with proper justification involving H+ reacting with OH- and shifting equilibrium."
student_002,AP-Chem,frq1,Point 01,1.0,1.0,,The bars for Mg-25 and Mg-26 appear to be drawn at approximately 10-11% on the mass spectrum.
student_002,AP-Chem,frq1,Point 02,1.0,1.0,,"The student states isotopes have different numbers of neutrons resulting in different mass, which captures the key idea."
student_002,AP-Chem,frq1,Point 03,1.0,1.0,,"The student correctly identifies Na+ has a smaller charge than Mg2+, leading to weaker attraction."
student_002,AP-Chem,frq1,Point 04,0.0,1.0,,The student says Na+ is bigger but does not explicitly link increased distance to decreased Coulombic attraction.
student_002,AP-Chem,frq1,Point 05,1.0,1.0,,The student correctly calculates pOH = 3.55 and pH = 10.45.
student_002,AP-Chem,frq1,Point 06,0.0,1.0,,The student's answer of 6.475×10⁻⁵ is incorrect; the correct value is 7.62×10⁻⁴ M (appears to have used wrong total volume calculation).
