student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-History,dbq1,Row A: Thesis/Claim,1,1.0,,"The thesis establishes a line of reasoning with categories, arguing the early/middle period was characterized by Keynesian intervention while the later period featured more laissez-faire government with the rise of the New Right."
student_001,AP-History,dbq1,Row B: Contextualization,1,1.0,,"The response describes laissez-faire policies after Reconstruction and the Progressive Era's increasing government involvement, providing relevant broader context preceding the prompt's time frame."
student_001,AP-History,dbq1,Row C: Evidence from Documents (use of documents),1,2.0,,"The response accurately describes and uses content from Documents 3, 4, and 5 to support arguments, but only references Document 7 (Holt) in a cut-off, incomplete sentence that does not adequately describe its content, falling short of four documents."
student_001,AP-History,dbq1,Row C: Evidence Beyond Documents,1,1.0,,"The response provides specific outside evidence about LBJ's Great Society, War on Poverty, and Medicare with appropriate elaboration relevant to the argument."
student_001,AP-History,dbq1,Row D: Sourcing (POV/Purpose/Situation/Audience),0,1.0,,The response identifies audiences for Documents 3 and 5 but the explanations are superficial and largely restate content rather than meaningfully explaining how audience shapes the argument.
student_001,AP-History,dbq1,Row D: Complex Understanding,0,1.0,,"While the response attempts a change-over-time argument, it does not develop sophisticated argumentation or nuance beyond a basic two-part structure, and the essay is incomplete/repetitive."
student_002,AP-History,dbq1,Row A: Thesis/Claim,1,1.0,,"The thesis establishes a defensible line of reasoning with categories: connecting trade/travel, advocating for equal opportunity/healthcare, and immigration for war effort."
student_002,AP-History,dbq1,Row B: Contextualization,1,1.0,,"Response describes the pre-1932 context including risky banking, the consumer revolution, and the Great Depression hitting on Black Tuesday."
student_002,AP-History,dbq1,Row C: Evidence from Documents,2,2.0,,"Response accurately uses content from Documents 2, 3, 4, 5, and 6 to support arguments about expanding federal role."
student_002,AP-History,dbq1,Row C: Evidence Beyond Documents,1,1.0,,Response references Eisenhower and the Sunbelt agricultural boom as specific evidence beyond the documents relevant to the argument.
student_002,AP-History,dbq1,Row D: Sourcing,1,1.0,,Response explains the purpose of Document 4 (to convince politicians to support elderly healthcare) and the audience of Document 6 (government/Congress) in connection to arguments.
student_002,AP-History,dbq1,Row D: Complex Understanding,0,1.0,,"Response presents a mostly one-sided argument about expansion without exploring counterperspectives like the conservative backlash, and sourcing is not sufficiently developed across four documents."
student_003,AP-History,dbq1,Row A: Thesis/Claim,0,1.0,,The response restates the prompt and offers a vague claim about funding projects benefiting the economy without establishing a clear line of reasoning or analytic categories.
student_003,AP-History,dbq1,Row B: Contextualization,0,1.0,,"The response does not describe a broader historical context (such as the Great Depression, New Deal, or Cold War) before, during, or after the time period."
student_003,AP-History,dbq1,Row C: Evidence from Documents,1,2.0,,"The response describes content from three documents (Doc 3 highways, Doc 4 Kennedy, Doc 6 Chávez) but does not use four documents to support an argument."
student_003,AP-History,dbq1,Row C: Evidence Beyond Documents,0,1.0,,The response does not provide specific historical evidence beyond the documents; it only elaborates on document content without introducing outside facts.
student_003,AP-History,dbq1,Row D: Sourcing,0,1.0,,"The response does not explain the point of view, purpose, historical situation, or audience of any document in relation to an argument."
student_003,AP-History,dbq1,Row D: Complex Understanding,0,1.0,,"The response lacks sophisticated argumentation, multiple perspectives, or nuanced analysis required to demonstrate complex understanding."
student_001,AP-History,leq1,Row A: Thesis/Claim,1,1.0,,"The thesis establishes a clear line of reasoning with three categories: forced conversion/abandonment of land, military uprisings, and trade/cultural exchange."
student_001,AP-History,leq1,Row B: Contextualization,1,1.0,,The response describes pre-contact Native American diversity and Columbus's 1492 expedition with sufficient elaboration to establish broader context.
student_001,AP-History,leq1,Row C: Evidence,2,2.0,,"Multiple specific pieces of evidence (encomienda, Columbian Exchange, Jamestown, King Philip's/Metacom's War, fur trade, French-Dutch intermarriage) are used to support the argument about varied Native adaptations."
student_001,AP-History,leq1,Row D: Analysis and Reasoning / Complex Understanding,2,2.0,,"The response demonstrates complex understanding by comparing Native adaptations across multiple European empires (Spanish, British, French, Dutch) and exploring multiple themes (resistance, accommodation, trade) with abundant supporting evidence."
student_002,AP-History,leq1,Row A: Thesis/Claim,1,1.0,,The thesis establishes two clear categories—fighting over territory and assimilating to European culture—providing a defensible line of reasoning.
student_002,AP-History,leq1,Row B: Contextualization,1,1.0,,"The introduction describes Columbus's arrival and European motives for colonization (wealth, power, religion), providing relevant broader context beyond a passing reference."
student_002,AP-History,leq1,Row C: Evidence,2,2.0,,The response uses King Philip's War and Spanish mission/assimilation schools (along with the Columbian Exchange) as specific evidence to support the argument about Native adaptation.
student_002,AP-History,leq1,Row D: Analysis and Reasoning / Complex Understanding,1,2.0,,"The essay structures its argument using comparison/causation between conflict and assimilation, but lacks the sophistication, nuance, or multiple perspectives needed for the second point, and contains some inaccuracies (French and Indian War context)."
student_003,AP-History,leq1,Row A: Thesis/Claim,1,1.0,,"The thesis states Native Americans adapted by trading with Europeans and conquering new land westward, establishing a defensible line of reasoning with categories."
student_003,AP-History,leq1,Row B: Contextualization,0,1.0,,"The opening reference to Native settlements and culture before 1500 is too brief and general, amounting to a passing phrase rather than developed context."
student_003,AP-History,leq1,Row C: Evidence,1,2.0,,"The response references trade with the Dutch, introduction of horses/guns, and smallpox, but most evidence is vague or inaccurate (e.g., 7 Years War and Pontiac's Rebellion are misused/outside period for adaptation argument); only general evidence supports the argument rather than specific accurate evidence used effectively."
student_003,AP-History,leq1,Row D: Analysis and Reasoning / Complex Understanding,0,2.0,,The response does not coherently frame an argument using historical reasoning; it contains contradictions and historical inaccuracies that undermine any structured causation or comparison.
student_001,AP-History,leq2,Row A: Thesis/Claim,1,1.0,,"The response establishes a defensible thesis with categories: women's rights movements, labor unions, and immigration reformers like Jane Addams responding to industrialization."
student_001,AP-History,leq2,Row B: Contextualization,1,1.0,,"The response describes relevant context about post-Revolution debates over manufacturing vs. agrarian economy and the market revolution with specific inventions, providing more than a passing reference."
student_001,AP-History,leq2,Row C: Evidence,2,2.0,,"The response uses multiple specific pieces of evidence (Lowell mills, Seneca Falls Convention, Knights of Labor, Hull House) to support arguments about how reform movements responded to industrialization."
student_001,AP-History,leq2,Row D: Analysis and Reasoning / Complex Understanding,1,2.0,,"The response uses causation to frame the argument (industrialization caused poor conditions which prompted reform), but does not develop sophisticated argumentation across multiple perspectives or insightful connections to earn the second point."
student_002,AP-History,leq2,Row A: Thesis/Claim,0,1.0,,The opening statement that 'Reform movements had a radical response to Industrialization because of unjust labor and big business' is overly general and does not establish a clear line of reasoning about how different reform movements responded.
student_002,AP-History,leq2,Row B: Contextualization,0,1.0,,"The response does not describe broader historical events or developments before, during, or after the period; it only describes industrialization itself, which is the topic of the prompt."
student_002,AP-History,leq2,Row C: Evidence,1,2.0,,"The response identifies specific evidence such as the Lowell girls, Carnegie, Rockefeller, and horizontal/vertical integration, but does not clearly use this evidence to support an argument about specific reform movements responding to industrialization."
student_002,AP-History,leq2,Row D: Analysis and Reasoning / Complex Understanding,0,2.0,,"The response describes industrialization and mentions labor organizations vaguely but does not use historical reasoning (causation, comparison, continuity/change) to frame or structure a clear argument addressing the prompt."
student_003,AP-History,leq2,Row A: Thesis/Claim,0,1.0,,"The response largely restates the prompt and offers vague claims about protesting and telling Congress without establishing a clear historically defensible line of reasoning, and it confuses labor unions with workplaces."
student_003,AP-History,leq2,Row B: Contextualization,0,1.0,,The brief mention of rural-to-urban migration is a passing reference without sufficient elaboration to describe a broader historical context.
student_003,AP-History,leq2,Row C: Evidence,0,2.0,,"The response provides only vague generalizations about protests and poor working conditions without naming specific historical examples like particular strikes, reform movements, or figures."
student_003,AP-History,leq2,Row D: Analysis and Reasoning / Complex Understanding,0,2.0,,"The response does not employ historical reasoning (causation, comparison, or continuity/change) to frame an argument; it simply lists vague responses without analytical structure."
student_001,AP-History,leq3,Row A: Thesis/Claim,1,1.0,,The thesis establishes a line of reasoning by claiming US foreign policy shifted from interventionism to isolationism between 1890 and 1930.
student_001,AP-History,leq3,Row B: Contextualization,0,1.0,,The introduction discusses post-Civil War freedoms and reputation but does not clearly describe a broader historical context directly relevant to US foreign policy developments.
student_001,AP-History,leq3,Row C: Evidence,2,2.0,,"The response uses multiple specific pieces of evidence (Spanish-American War, Roosevelt Corollary, Panama Canal, Platt Amendment, WWI, Treaty of Versailles, League of Nations, Red Scare) to support the argument."
student_001,AP-History,leq3,Row D: Analysis and Reasoning - Complex Understanding,2,2.0,,"The response demonstrates complex understanding by explaining both continuity and change over time, showing how interventionism shifted to isolationism with multiple causes and effects supported by abundant specific evidence."
student_002,AP-History,leq3,Row A: Thesis/Claim,1,1.0,,"The response provides a defensible thesis stating the US responded by becoming involved in imperialism and creating the Big Stick policy, despite anti-imperialist arguments, establishing a line of reasoning."
student_002,AP-History,leq3,Row B: Contextualization,1,1.0,,"The response describes relevant context regarding pre-1890 isolationism, Reconstruction, and territorial gains from the Mexican-American War that set the stage for foreign policy shifts."
student_002,AP-History,leq3,Row C: Evidence,2,2.0,,The response uses at least two specific pieces of evidence (League of Nations debate and Big Stick/Roosevelt policy) to support its argument about the shift in US foreign policy.
student_002,AP-History,leq3,Row D: Analysis and Reasoning / Complex Understanding,1,2.0,,"The response uses causation/change reasoning to frame the argument about shifting foreign policy, but lacks the sophisticated argumentation or nuanced multi-perspective analysis needed for the second point."
student_003,AP-History,leq3,Row A: Thesis/Claim,0,1.0,,The response largely restates the prompt and does not establish a clear line of reasoning about how US foreign policy responded to changes.
student_003,AP-History,leq3,Row B: Contextualization,0,1.0,,The reference to Washington's Farewell Address is brief and not sufficiently elaborated to establish a broader historical context.
student_003,AP-History,leq3,Row C: Evidence,1,2.0,,"The response identifies relevant evidence (WWI, Treaty of Versailles, League of Nations) but contains inaccuracies (NATO is post-1930) and does not use evidence to support a coherent argument."
