student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Calc,frq1,P1 (Part A: Correct integral with division by 4),1.0,1.0,,Student presents the setup '1/(4-0) ∫₀⁴ C(t)dt' which shows correct integral and explicit division by 4.
student_001,AP-Calc,frq1,P2 (Part A: Correct answer),1.0,1.0,,"Student provides the answer 2.778 acres, which is accurate to three decimal places and matches the model solution."
student_001,AP-Calc,frq1,P3 (Part B: Average rate of change),1.0,1.0,,"Student presents '[C(4) - C(0)]/(4-0) ≈ 1.282 acres/week', which correctly expresses the average rate of change."
student_001,AP-Calc,frq1,P4 (Part B: Correct answer with supporting work),1.0,1.0,,"Student solves C'(t) = 1.282 and reports t = 2.154, which is accurate to three decimal places and supported by the equation setup."
student_001,AP-Calc,frq1,P5 (Part C: Limit expression),1.0,1.0,,"Student writes 'lim(t→∞) C'(t) = lim(t→∞) 38/(25+t²)', which correctly expresses the limit of the derivative."
student_001,AP-Calc,frq1,P6 (Part C: Limit value),1.0,1.0,,"Student evaluates the limit and concludes the answer is 0, which is correct."
student_001,AP-Calc,frq1,P7 (Part D: Consider A'(t) = 0),1.0,1.0,,"Student states 'A'(t) = 0 at t = 11.449' and presents the critical point, satisfying the requirement to consider A'(t) = 0."
student_001,AP-Calc,frq1,P8 (Part D: Justification via candidates test),1.0,1.0,,"Student evaluates A(t) at t = 4 (5.128), t = 11.442 (7.317 largest), and t = 36 (1.743), correctly identifying the maximum through comparison of all critical and endpoint values."
student_001,AP-Calc,frq1,P9 (Part D: Correct answer with supporting work),1.0,1.0,,"Student provides the answer t = 11.442 weeks (or 11.449 as written), which is accurate to three decimal places and supported by the candidates test table."
student_002,AP-Calc,frq1,P1 (Part A - Correct integral with evidence of division by 4),0.0,1.0,,"The student wrote '1/4 ∫₀⁴ 7.6arctan(0.2t)dt ≈ 1.778 acres' but this is incomplete and lacks clear setup; the integral evaluation is not shown, and the numerical result (1.778) does not match the correct value (2.778), indicating a calculation error rather than proper application of the average value formula."
student_002,AP-Calc,frq1,P2 (Part A - Correct answer to three decimal places),0.0,1.0,,"The student's reported answer of 1.778 acres is incorrect; the correct answer is 2.778 acres (from 11.112896 ÷ 4), so P2 is not earned."
student_002,AP-Calc,frq1,P3 (Part B - Average rate of change presented),1.0,1.0,,"The student correctly computed the average rate of change: [C(4) - C(0)]/(4 - 0) ≈ 1.282, which is properly presented as the setup for finding when the instantaneous rate equals it."
student_002,AP-Calc,frq1,P4 (Part B - Correct answer supported by appropriate equation),0.0,1.0,,"The student wrote 'C'(t) = 1.282 ⇒ t = 0.851' but this answer is incorrect; solving C'(t) = 38/(25+t²) = 1.282 yields t ≈ 2.154, not 0.851, so the answer does not meet the three-decimal-place accuracy requirement."
student_002,AP-Calc,frq1,P5 (Part C - Limit expression for end behavior of rate of change),1.0,1.0,,"The student correctly wrote 'lim(t→∞) 38/(25+t²) = 0', which is the appropriate limit expression for the derivative C'(t) as t approaches infinity."
student_002,AP-Calc,frq1,P6 (Part C - Correct evaluation of limit),1.0,1.0,,"The student correctly evaluated the limit as 0, which is mathematically sound for lim(t→∞) 38/(25+t²)."
student_002,AP-Calc,frq1,P7 (Part D - Consideration of A'(t) = 0),1.0,1.0,,"The student correctly set up A'(t) = C'(t) - 0.1(ln t) = 0 and identified that a critical point exists, which satisfies the requirement to consider when A'(t) = 0."
