student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Chem,frq1,A(i),1.0,1.0,,"The student correctly plotted two lines on the mass spectrum at masses 25 and 26, with each line appearing to be at approximately 10-11 on the relative abundance scale, meeting the rubric requirement."
student_001,AP-Chem,frq1,A(ii),1.0,1.0,,"The student correctly identifies that magnesium-26 has one more neutron than magnesium-25, explicitly stating both isotopes have 12 protons but differ in neutron count (14 vs 13), which accounts for the mass difference."
student_001,AP-Chem,frq1,B(i),1.0,1.0,,"The student correctly explains using Coulomb's law that Mg²⁺ has a larger charge (+2) compared to Na⁺ (+1), resulting in a stronger Coulombic attraction to water, thus explaining why Na⁺ has weaker attraction."
student_001,AP-Chem,frq1,B(ii),1.0,1.0,,"The student correctly explains that Na⁺ is larger than Mg²⁺, resulting in greater separation distance from the oxygen in water, which according to Coulomb's law produces a weaker attractive force."
student_001,AP-Chem,frq1,C,1.0,1.0,,"The student correctly calculated pOH = 3.55 from [OH⁻] = 2.8×10⁻⁴ M and then calculated pH = 10.45 using pH = 14 - pOH, matching the rubric answer of 10.447 within acceptable rounding."
student_001,AP-Chem,frq1,D,1.0,1.0,,"The student correctly applied the dilution formula M₁V₁ = M₂V₂ and calculated [Mg²⁺] = 7.62×10⁻⁴ M after combining the solutions, matching the rubric value exactly."
student_001,AP-Chem,frq1,E(i),1.0,1.0,,"The student correctly wrote the Ksp expression as Ksp = [Mg²⁺][OH⁻]², which matches the rubric requirement exactly."
student_001,AP-Chem,frq1,E(ii),1.0,1.0,,"The student correctly calculated Q = (7.62×10⁻⁴)(1.65×10⁻⁴)² = 2.07×10⁻¹¹, which matches the rubric answer and is consistent with parts D and E(i)."
student_001,AP-Chem,frq1,E(iii),1.0,1.0,,"The student correctly predicted that a precipitate will form, justifying the answer by stating 'Since Q > Ksp, the reaction will shift left to approach equilibrium, producing Mg(OH)₂(s)', which aligns with the rubric's acceptable response format."
student_001,AP-Chem,frq1,F,1.0,1.0,,"The student correctly answered that the amount of undissolved Mg(OH)₂(s) decreases, providing comprehensive justification that HNO₃ dissociates to produce H⁺ which reacts with OH⁻, decreasing [OH⁻], causing Q < Ksp and shifting equilibrium to dissolve more solid, consistent with the rubric's answer."
student_002,AP-Chem,frq1,A.i,1.0,1.0,,"Student correctly calculated the abundance for the two remaining isotopes as approximately 10.5% each (shown as 1-.79=.21÷2=.105≈10.5%), which falls within the required range of 10-11%."
student_002,AP-Chem,frq1,A.ii,1.0,1.0,,"Student correctly identified that each isotope has a different number of neutrons, resulting in each one having a different mass, which meets the rubric requirement."
student_002,AP-Chem,frq1,B.i,1.0,1.0,,"Student correctly explained that Na+ has a smaller charge than Mg2+, and that the smaller charge results in weaker Coulombic attraction, matching the rubric requirement."
student_002,AP-Chem,frq1,B.ii,1.0,1.0,,"Student correctly explained that Na+ is larger than Mg2+ and therefore the nucleus does not pull as strongly on water molecules, which aligns with the rubric requirement regarding distance and Coulombic attraction."
student_002,AP-Chem,frq1,C,0.0,1.0,,"Student calculated pOH = 3.55 and pH = 10.45, but the rubric requires pH = 10.447, which rounds to 10.45; however, the student's pOH calculation shows 3.55 instead of the required 3.553, indicating a rounding error in the intermediate step."
student_002,AP-Chem,frq1,D,1.0,1.0,,"Student correctly applied the dilution formula M₁V₁ = M₂V₂ and calculated [Mg2+]₈ = 7.62 × 10⁻⁴ M after combination, matching the rubric answer."
student_002,AP-Chem,frq1,E.i,1.0,1.0,,"Student wrote the correct Ksp expression: Ksp = [Mg²⁺][OH⁻]², matching the rubric requirement."
student_002,AP-Chem,frq1,E.ii,0.0,1.0,,"Student calculated Q = 0.255 (shown as 1.65×10⁻⁴ ÷ 6.415×10⁻⁴), but the correct calculation using the values from parts D and the given [OH⁻] should yield Q = 2.07 × 10⁻¹¹; the student appears to have used incorrect concentration values."
student_002,AP-Chem,frq1,E.iii,1.0,1.0,,"Student correctly predicted that a precipitate will form because Q > Ksp (stated as 'Q > K so the reverse reaction is favored and Mg(OH)₂(s) will form'), which matches the rubric requirement."
student_002,AP-Chem,frq1,F,0.0,1.0,,"Student stated the amount should increase, but the rubric requires the answer to be 'decrease' with justification that H⁺ reacts with OH⁻, decreasing [OH⁻] and causing Q < Ksp, allowing more Mg(OH)₂(s) to dissolve; the student's logic is backwards."
student_003,AP-Chem,frq1,A(i),0.0,1.0,,The student did not complete the mass spectrum diagram with lines for magnesium-25 and magnesium-26 in the 10-11% abundance range; only a single line is visible in the spectrum.
student_003,AP-Chem,frq1,A(ii),0.0,1.0,,"The student's explanation about ionic charge and electron shells is fundamentally incorrect; the rubric requires that magnesium-26 has one more neutron than magnesium-25, which addresses atomic structure differences, not ionic properties."
student_003,AP-Chem,frq1,B(i),0.0,1.0,,"The student states that Na+ has a weaker attraction because Mg is more electronegative, which does not correctly explain the role of relative ion charge in Coulomb's law as required by the rubric."
student_003,AP-Chem,frq1,B(ii),0.0,1.0,,"The student claims Mg2+ is larger because it has a bigger electron shell, which is incorrect; the rubric requires the correct explanation that Na+ is larger than Mg2+ due to lower nuclear charge, making the distance greater."
student_003,AP-Chem,frq1,C,0.0,1.0,,"The student calculated pH = 3.553 directly from the concentration, but the rubric requires first calculating pOH = 3.553, then pH = 10.447; the student's final answer is incorrect."
student_003,AP-Chem,frq1,D,0.0,1.0,,The student's calculation shows confused work with an unexplained intermediate value of 28.57 and incorrect final answer of [Mg2+] = 28.57 M; the rubric requires 7.62 × 10⁻⁴ M using proper dilution calculation.
student_003,AP-Chem,frq1,E(i),0.0,1.0,,The student wrote an incorrect expression with Mg and OH in the numerator and denominator separately; the rubric requires Ksp = [Mg²⁺][OH⁻]².
student_003,AP-Chem,frq1,E(ii),0.0,1.0,,The student's calculation of Q = 5.5 × 10⁻⁵ is incorrect and inconsistent with their part D answer; the rubric requires Q = 2.07 × 10⁻¹¹ using the correct [Mg²⁺] and [OH⁻] values.
student_003,AP-Chem,frq1,E(iii),1.0,1.0,,"The student correctly predicted that a precipitate will form because Q > Ksp, stating sufficient energy will be available to create a precipitate, which satisfies the rubric requirement."
student_003,AP-Chem,frq1,F,0.0,1.0,,"The student predicted an increase in undissolved Mg(OH)₂, but the rubric requires the correct answer of decrease, with justification that H⁺ reacts with OH⁻, causing Q < Ksp and more Mg(OH)₂ to dissolve."
student_001,AP-Chem,frq2,Point 01,1.0,1.0,,Student correctly calculated 0.1600 mol H₂O using the molar mass conversion (2.883 g ÷ 18.029 g/mol = 0.1600 mol).
student_001,AP-Chem,frq2,Point 02,1.0,1.0,,Student correctly calculated 0.3200 mol H from 0.1600 mol H₂O using the 2:1 stoichiometric ratio.
student_001,AP-Chem,frq2,Point 03,1.0,1.0,,Student correctly determined the empirical formula as C₃H₄O₃ by calculating mole ratios (0.2400 : 0.3200 : 0.2400 = 3 : 4 : 3).
student_001,AP-Chem,frq2,Point 04,1.0,1.0,,Student correctly calculated the molar concentration of HAsc as 0.0880 M using the titration data (8.80 × 10⁻⁴ mol HAsc ÷ 0.0100 L).
student_001,AP-Chem,frq2,Point 05,1.0,1.0,,"Student correctly determined pKa = 4.1 from the titration curve at the half-equivalence point (8.0 mL), which falls within the acceptable range of 4.0–4.3."
student_001,AP-Chem,frq2,Point 06,1.0,1.0,,"Student correctly applied Henderson-Hasselbalch equation to calculate [Asc⁻]/[HAsc] = 4.0 (or 10^0.6 ≈ 4.0) at pH 4.7, consistent with pKa = 4.1."
student_001,AP-Chem,frq2,Point 07,1.0,1.0,,"Student provided a correct explanation: comparing trials 1 and 3, when [HAsc] doubles while [I₃⁻] remains constant, the reaction rate doubles, indicating first-order dependence on [HAsc]."
student_001,AP-Chem,frq2,Point 08,1.0,1.0,,Student correctly calculated k = 4.55 × 10⁻⁴ M⁻¹s⁻¹ using the rate law and trial 1 data (2.457 × 10⁻⁴ ÷ (0.450 × 1.200)).
student_001,AP-Chem,frq2,Point 09,1.0,1.0,,Student provided the correct units M⁻¹s⁻¹ for a second-order rate constant (consistent with rate law being first order in [HAsc] and first order in [I₃⁻]).
student_001,AP-Chem,frq2,Point 10,1.0,1.0,,"Student correctly identified ion-dipole forces as the intermolecular force present between I₃⁻ and water but absent between I₂ and water, explaining the solubility difference."
student_002,AP-Chem,frq2,Point 01,1.0,1.0,,Student correctly calculated 0.1600 mol H₂O using the molar mass conversion (2.883 g ÷ 18.02 g/mol).
student_002,AP-Chem,frq2,Point 02,1.0,1.0,,"Student correctly calculated 0.3200 mol H from 0.1600 mol H₂O using the 2:1 mole ratio, shown as 0.32 mol in the work."
student_002,AP-Chem,frq2,Point 03,1.0,1.0,,Student correctly determined the empirical formula as C₃H₄O₃ by establishing mole ratios of C:H:O as 0.2400:0.3200:0.2400 = 3:4:3.
student_002,AP-Chem,frq2,Point 04,0.0,1.0,,"Student's calculation appears incorrect; the response shows 'pOH = -log(0.0550 M) = 1.26' and 'pH = 12.74' with '[HAsc] = 1.82 × 10⁻¹³ M', which does not correctly calculate molarity from the titration data (should be 0.0880 M)."
student_002,AP-Chem,frq2,Point 05,0.0,1.0,,"Student stated 'pKa = 7.5', which falls outside the acceptable range of 4.0–4.3 and is inconsistent with ascorbic acid properties."
student_002,AP-Chem,frq2,Point 06,0.0,1.0,,"Student answered '1/3' for the ratio [Asc⁻]/[HAsc], which is inconsistent with the pKa value given (7.5) and cannot be reconciled with pH 4.7 using the Henderson-Hasselbalch equation."
student_002,AP-Chem,frq2,Point 07,1.0,1.0,,"Student provided a correct explanation that the concentration of [HAsc] doubles from trial 1 to 3 while [I₃⁻] stays constant, and the rate also doubles, indicating first-order dependence on HAsc."
student_002,AP-Chem,frq2,Point 08,1.0,1.0,,Student correctly calculated k = 4.55 × 10⁻⁴ using trial 1 data with the rate law rate = k[HAsc][I₃⁻].
student_002,AP-Chem,frq2,Point 09,1.0,1.0,,"Student provided the correct units 's/M' (or equivalently M⁻¹s⁻¹), which is appropriate for a second-order rate constant."
student_002,AP-Chem,frq2,Point 10,1.0,1.0,,"Student correctly identified that I₃⁻ and water contain both London dispersion forces and ion-dipole forces, while I₂ and water contain only London dispersion forces, explaining the solubility difference."
student_003,AP-Chem,frq2,A(i),1.0,2.0,,"Student calculated 0.1600 mol H₂O, which is correct; however, the work shown is somewhat difficult to read but appears to show the conversion using 18.02 g/mol, earning partial credit for the correct numerical answer without clear demonstration of full work."
student_003,AP-Chem,frq2,A(ii),0.0,1.0,,"Student provided an empirical formula of CHO, which is incorrect; the correct empirical formula is C₃H₄O₃ based on the mole ratios 0.2400:0.3200:0.2400 = 3:4:3, and the student's reasoning about simplifying to 1:1:1 does not align with the given information that C:O = 1:1."
student_003,AP-Chem,frq2,A(iii),0.0,1.0,,"This is labeled as part (ii) in the rubric but appears as part (ii) in the student response for part A; student did not complete determination of the empirical formula correctly, so this point cannot be awarded."
student_003,AP-Chem,frq2,B(i),0.0,1.0,,Student did not provide any calculation or answer for the molar concentration of ascorbic acid; the response section for B(i) is blank or missing.
student_003,AP-Chem,frq2,B(ii),0.0,1.0,,Student wrote 'pKa = 1 log(1/10)' which is incomplete and does not yield a numerical value in the acceptable range of 4.0-4.3; no valid pKa value is provided.
student_003,AP-Chem,frq2,B(iii),0.0,1.0,,Student wrote 'the value is around 12/2.5 =4.8 or 13' which does not match the expected answer of approximately 0.4 (or 10^0.6 ≈ 4); the reasoning and numerical answer are both incorrect.
student_003,AP-Chem,frq2,C(i),1.0,1.0,,"Student correctly explained that the reaction is first order with respect to HAsc by noting that when [HAsc] doubles (trials 1 and 3) while [I₃⁻] remains constant, the initial rate also doubles, demonstrating first-order dependence."
student_003,AP-Chem,frq2,C(ii),0.0,2.0,,"Student provided the rate law rate = k[HAsc][I₃⁻] and showed a formula for k = rate/([HAsc][I₃⁻]), but did not complete the numerical calculation to find the value of k with proper units; no final answer is given."
student_003,AP-Chem,frq2,D,1.0,1.0,,"Student identified that I₃⁻ has a negative charge that allows it to attract water through ion-dipole interactions, which is the correct intermolecular force distinction; the response 'LDF? D-D where I₃⁻ has a neg charge to attract H₂O' captures the essential concept."
student_001,AP-Chem,frq3,A,1.0,1.0,,The Lewis diagram correctly shows all nonbonding electrons (lone pairs) on each phosphorus atom in the tetrahedral P4 structure with single bonds between atoms.
student_001,AP-Chem,frq3,B(i),1.0,1.0,,"The student provides a correct particle-level explanation that entropy decreases because gas molecules (with more possible locations/positions) are converted to solid molecules (with fewer possible locations), matching the rubric's required reasoning."
student_001,AP-Chem,frq3,B(ii),1.0,1.0,,"The student correctly states the claim is correct, applies the ΔG° = ΔH° - TΔS° relationship, and explains that because ΔS° is negative, -TΔS° is positive, so ΔH° must be negative for ΔG° to be negative and the reaction to be favorable, directly addressing enthalpy as the driving force."
student_001,AP-Chem,frq3,C(i),1.0,1.0,,The student correctly calculates q = (100.09 g)(4.18 J/(g·°C))(22.38 - 22.00)°C = 160 J = 0.16 kJ with appropriate significant figures (2 sig figs).
student_001,AP-Chem,frq3,C(ii),1.0,1.0,,"The student correctly calculates ΔH°rxn = -0.16 kJ / 0.000352 mol = -450 kJ/mol rxn (or approximately -4.5 × 10² kJ/mol rxn) with the correct negative sign, consistent with part C(i)."
student_001,AP-Chem,frq3,C(sign),1.0,1.0,,"The student includes the correct negative sign in the final answer (-450 kJ/mol rxn), as required by the rubric."
student_001,AP-Chem,frq3,D,1.0,1.0,,"The student correctly answers that ΔT would be less than the first trial and provides valid justification that with less P4O10 (limiting reactant), fewer moles react, less heat is transferred, and therefore the temperature change is smaller."
student_001,AP-Chem,frq3,E,1.0,1.0,,"The student correctly applies Hess's Law by multiplying equation 3 by 1/4 to get ΔH°₁ = -1/4(1148) = -287 kJ/mol, adding equation 4 with ΔH°₂ = -88 kJ/mol, and calculating ΔH°f = -287 + (-88) = -375 kJ/mol for PCl5(g)."
student_001,AP-Chem,frq3,F(i),1.0,1.0,,"The student correctly calculates Kp = (4.00) / ((2.00)(6.00)) = 4.00 / 12.00 = 0.333, correctly identifying partial pressures from the particle diagram and applying the equilibrium expression."
