student_id,exam,question,rubric_item,ai_score,max_score,teacher_score,rationale
student_001,AP-Calc,frq1,P1,1,1.0,,"The student correctly writes (1/(4-0)) ∫₀⁴ C(t) dt, showing the correct integral with division by 4."
student_001,AP-Calc,frq1,P2,1,1.0,,"The student gives the correct answer of 2.778 acres, accurate to three decimal places."
student_001,AP-Calc,frq1,P3,1,1.0,,The student correctly sets up and presents (C(4)-C(0))/(4-0) ≈ 1.282 acres/week as the average rate of change.
student_001,AP-Calc,frq1,P4,1,1.0,,"The student sets C'(t) = 38/(25+t²) = 1.282 and finds t = 2.154, which is correct to three decimal places with supporting work shown."
student_001,AP-Calc,frq1,P5,1,1.0,,"The student writes lim(t→∞) C'(t) = lim(t→∞) 38/(25+t²), which is the correct limit expression for the end behavior of the rate of change."
student_001,AP-Calc,frq1,P6,1,1.0,,The student correctly evaluates the limit as 0.
student_001,AP-Calc,frq1,P7,1,1.0,,"The student writes A'(t) = 0 at t = 11.442, which satisfies the requirement of considering A'(t) = 0."
student_001,AP-Calc,frq1,P8,1,1.0,,"The student performs a candidates test with correct evaluations at t = 4 (A = 5.128), t = 11.442 (A = 7.317), and t = 36 (A = 1.743), all accurate to the first digit after the decimal, providing a valid global justification."
student_001,AP-Calc,frq1,P9,1,1.0,,The student correctly identifies t = 11.442 as the time when A attains its maximum value with supporting work.
student_002,AP-Calc,frq1,P1 - Average value formula (correct integral with division by 4),1,1.0,,"The student writes (1/4)∫₀⁴ 7.6arctan(0.2t) dt, which is the correct integral with division by 4."
student_002,AP-Calc,frq1,P2 - Correct answer for average value (accurate to three decimal places),1,1.0,,"The student reports 2.778 acres, which is accurate to three decimal places."
student_002,AP-Calc,frq1,P3 - Uses average rate of change,1,1.0,,"The student writes f'(t) = (C(4) - C(0))/(4-0) ≈ 1.282, correctly setting up the average rate of change."
student_002,AP-Calc,frq1,P4 - Correct answer with supporting equation,0,1.0,,"The student reports t = 0.851, which is incorrect; the correct answer is t ≈ 2.154."
student_002,AP-Calc,frq1,P5 - Limit expression for end behavior of rate of change,1,1.0,,"The student writes lim(t→∞) 38/(25+t²), which is the correct limit expression for C'(t)."
